Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:00:25.169,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,22:00:25.792,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,22:00:26.370,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,22:00:27.129,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,22:00:27.880,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,22:00:28.389,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
7,22:00:29.710,target,pistol,0.706000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
8,22:00:30.394,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,22:00:30.986,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,22:00:31.617,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,22:00:32.343,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,22:00:32.877,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,22:00:33.406,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,22:00:33.926,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
15,22:00:34.556,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,22:00:35.117,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,22:00:35.696,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,22:00:36.355,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,22:00:37.116,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,22:00:37.980,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,22:00:38.530,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
22,22:00:39.004,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
23,22:00:39.580,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
24,22:00:40.093,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
25,22:00:40.699,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
26,22:00:41.229,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
27,22:00:41.986,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
28,22:00:42.795,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
29,22:00:44.323,target,pistol,0.842000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
30,22:00:45.150,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
31,22:00:45.848,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
32,22:00:46.520,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
33,22:00:46.856,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
34,22:00:47.520,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
35,22:00:48.059,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
36,22:00:48.685,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
37,22:00:49.362,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
