Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:18:52.867,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,18:18:53.446,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,18:18:54.063,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,18:18:54.493,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,18:18:55.032,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,18:18:55.733,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
7,18:18:56.290,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,18:18:56.734,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,18:18:57.361,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,18:18:58.148,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,18:18:58.673,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,18:18:59.188,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,18:18:59.863,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,18:19:00.579,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
15,18:19:01.274,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,18:19:02.075,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,18:19:02.716,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,18:19:03.300,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,18:19:04.518,target,pistol,0.628000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
20,18:19:05.045,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,18:19:05.565,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
22,18:19:06.140,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
23,18:19:06.994,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
24,18:19:07.843,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
25,18:19:08.531,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
26,18:19:09.188,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
27,18:19:10.097,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
28,18:19:11.026,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
29,18:19:11.815,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
30,18:19:12.347,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
31,18:19:13.537,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
32,18:19:14.247,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
33,18:19:14.696,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
34,18:19:15.263,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
35,18:19:16.254,target,pistol,0.551000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
36,18:19:16.820,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
37,18:19:17.534,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
38,18:19:18.136,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
39,18:19:18.769,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
40,18:19:19.492,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
41,18:19:20.244,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
42,18:19:20.866,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
43,18:19:21.391,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
44,18:19:22.123,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
45,18:19:22.930,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
46,18:19:23.611,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
47,18:19:24.193,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
48,18:19:24.895,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
49,18:19:25.632,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
50,18:19:26.336,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
51,18:19:27.040,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
52,18:19:27.531,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
53,18:19:28.077,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
54,18:19:28.602,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
55,18:19:29.811,target,pistol,0.624000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
56,18:19:30.464,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
57,18:19:31.636,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
58,18:19:32.213,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
59,18:19:32.925,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
60,18:19:33.425,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
61,18:19:34.189,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
62,18:19:34.907,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
63,18:19:35.627,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
64,18:19:36.215,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
65,18:19:36.843,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
66,18:19:37.360,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
67,18:19:38.025,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
68,18:19:38.964,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
69,18:19:39.946,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
70,18:19:40.505,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
71,18:19:41.176,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
72,18:19:42.033,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
73,18:19:42.715,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
74,18:19:43.385,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
75,18:19:44.019,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
76,18:19:44.523,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
77,18:19:45.104,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
78,18:19:45.870,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
79,18:19:46.421,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
80,18:19:47.042,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
81,18:19:47.611,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
82,18:19:48.095,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
83,18:19:48.832,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
84,18:19:49.605,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
85,18:19:50.291,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
86,18:19:50.931,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
87,18:19:51.453,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,90,87,2175.0,4500.0,

Kills:,87
Deaths:,0
Fight Time:,1.809
Time Remaining:,0.0
Avg TTK:,0.689651
Damage Done:,2175.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,87
Miss Count:,3
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,841.0
Scenario:,1wall 2targets small - valorant
Hash:,2069349891a9f847d2602c513fb7891b
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,18:18:52.111
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,247.886063
Resolution Scale:,100.0
