Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:13:37.475,target,BB Gun,0.891000s,3,1,0.333333,1.000000,3.000000,0.333333,0,0
2,16:13:38.486,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,16:13:39.749,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,16:13:40.455,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,16:13:41.498,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,16:13:42.268,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,16:13:43.414,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,16:13:46.736,target,BB Gun,2.296000s,5,1,0.200000,1.000000,5.000000,0.200000,0,0
9,16:13:47.563,target,BB Gun,0.279000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
10,16:13:48.778,target,BB Gun,0.358000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
11,16:13:50.182,target,BB Gun,0.363000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
12,16:13:51.064,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,16:13:51.948,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,16:13:53.079,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,16:13:55.937,target,BB Gun,1.890000s,5,1,0.200000,1.000000,5.000000,0.200000,0,0
16,16:13:56.819,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,16:13:57.782,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,16:13:59.212,target,BB Gun,0.318000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
19,16:14:00.738,target,BB Gun,0.740000s,3,1,0.333333,1.000000,3.000000,0.333333,0,0
20,16:14:01.387,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,16:14:03.192,target,BB Gun,0.532000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
22,16:14:04.124,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,16:14:05.172,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
