Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,23:18:38.473,test,pistol,2.180000s,6,1,0.166667,1000.000000,12000.000000,0.083333,0,0
2,23:18:39.160,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,23:18:39.862,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
4,23:18:40.596,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
5,23:18:42.010,test,pistol,0.424000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
6,23:18:44.433,test,pistol,1.383000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
7,23:18:46.126,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
8,23:18:49.221,test,pistol,1.963000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0,0
9,23:18:50.494,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
10,23:18:52.120,test,pistol,0.358000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
11,23:18:53.080,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
12,23:18:53.968,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
13,23:18:54.907,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
14,23:18:56.662,test,pistol,0.489000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
15,23:18:57.895,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
16,23:18:58.850,test,pistol,0.392000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
17,23:18:59.369,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
18,23:19:00.391,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
19,23:19:01.498,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
20,23:19:02.661,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
21,23:19:03.249,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
22,23:19:03.902,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
23,23:19:04.993,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
24,23:19:05.715,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
25,23:19:07.217,test,pistol,0.557000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
26,23:19:08.168,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
27,23:19:08.809,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
28,23:19:09.815,test,pistol,0.400000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
29,23:19:11.149,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
30,23:19:12.262,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
31,23:19:13.076,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
32,23:19:14.373,test,pistol,0.334000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
33,23:19:15.282,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
34,23:19:16.237,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
35,23:19:16.678,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
36,23:19:17.590,test,pistol,0.377000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
37,23:19:18.402,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
38,23:19:19.220,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
39,23:19:20.175,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
40,23:19:20.706,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
41,23:19:21.513,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
42,23:19:22.710,test,pistol,0.569000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
43,23:19:25.081,test,pistol,1.375000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
44,23:19:25.636,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
45,23:19:26.473,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
46,23:19:27.147,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
47,23:19:28.679,test,pistol,0.269000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
48,23:19:31.385,test,pistol,1.607000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0,0
49,23:19:33.601,test,pistol,1.099000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
50,23:19:35.150,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
51,23:19:36.759,test,pistol,0.363000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
52,23:19:38.757,test,pistol,0.750000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
53,23:19:39.755,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
54,23:19:40.893,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
55,23:19:41.698,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
56,23:19:43.206,test,pistol,0.383000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
57,23:19:45.576,test,pistol,1.360000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0,0
58,23:19:46.643,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
59,23:19:47.762,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
