Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:03:38.917,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
2,15:03:39.597,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,15:03:40.342,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
4,15:03:41.406,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
5,15:03:41.800,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
6,15:03:42.569,test,pistol,0.270000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
7,15:03:43.179,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
8,15:03:43.885,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
9,15:03:44.491,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
10,15:03:45.810,test,pistol,0.699000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
11,15:03:46.225,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
12,15:03:46.987,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
13,15:03:47.744,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
14,15:03:48.353,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
15,15:03:48.801,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
16,15:03:50.643,test,pistol,1.265000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
17,15:03:51.413,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
18,15:03:52.081,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
19,15:03:52.596,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
20,15:03:53.419,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
21,15:03:54.160,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
22,15:03:55.223,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
23,15:03:56.002,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
24,15:03:56.892,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
25,15:03:57.516,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
26,15:03:58.613,test,pistol,0.598000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
27,15:03:59.579,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
28,15:04:00.481,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
29,15:04:01.145,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
30,15:04:01.565,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
31,15:04:02.293,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
32,15:04:03.205,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
