Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,01:25:50.794,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
2,01:25:51.495,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,01:25:53.002,test,pistol,0.759000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
4,01:25:53.831,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
5,01:25:55.023,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
6,01:25:55.714,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
7,01:25:56.203,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
8,01:25:56.895,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
9,01:25:57.458,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
10,01:25:58.189,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
11,01:25:59.729,test,pistol,1.071000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
12,01:26:00.422,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
13,01:26:01.913,test,pistol,0.653000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
14,01:26:03.400,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
15,01:26:04.511,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
16,01:26:05.150,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
17,01:26:05.908,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
18,01:26:06.685,test,pistol,0.366000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
19,01:26:07.493,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
20,01:26:08.624,test,pistol,0.296000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
21,01:26:09.152,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
22,01:26:09.836,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
23,01:26:10.626,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
24,01:26:11.277,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
25,01:26:12.919,test,pistol,0.777000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
26,01:26:14.284,test,pistol,0.559000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
27,01:26:15.128,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
28,01:26:18.357,test,pistol,2.493000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
29,01:26:18.832,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
30,01:26:19.495,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
31,01:26:20.519,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
32,01:26:21.103,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
33,01:26:21.808,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
34,01:26:22.617,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
35,01:26:23.397,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
36,01:26:24.634,test,pistol,0.538000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
37,01:26:25.268,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
38,01:26:25.691,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
39,01:26:26.778,test,pistol,0.410000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
40,01:26:27.613,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
41,01:26:28.549,test,pistol,0.328000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
42,01:26:29.202,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
43,01:26:29.921,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
44,01:26:31.046,test,pistol,0.405000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
45,01:26:33.251,test,pistol,1.355000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
46,01:26:34.570,test,pistol,0.729000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
