Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:45:46.218,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
2,20:45:50.222,test,pistol,0.891000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
3,20:45:53.058,test,pistol,1.553000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
4,20:45:54.043,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
5,20:46:02.279,test,pistol,6.897000s,11,1,0.090909,1000.000000,22000.000000,0.045455,0,0
6,20:46:03.766,test,pistol,1.346000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
7,20:46:11.354,test,pistol,6.388000s,7,1,0.142857,1000.000000,14000.000000,0.071429,0,0
8,20:46:13.933,test,pistol,1.401000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
9,20:46:19.257,test,pistol,4.510000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0,0
10,20:46:20.582,test,pistol,1.177000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
11,20:46:21.925,test,pistol,0.498000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
12,20:46:23.130,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
13,20:46:24.455,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
14,20:46:26.854,test,pistol,0.627000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
15,20:46:31.123,test,pistol,2.309000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
16,20:46:34.933,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
17,20:46:38.763,test,pistol,2.477000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
18,20:46:52.925,test,pistol,12.991000s,14,1,0.071429,1000.000000,28000.000000,0.035714,0,0
19,20:46:54.380,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
20,20:46:56.103,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
21,20:46:56.802,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
22,20:46:57.886,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
23,20:46:59.420,test,pistol,0.154000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
24,20:47:01.036,test,pistol,1.176000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
25,20:47:03.278,test,pistol,1.375000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
26,20:47:09.266,test,pistol,4.805000s,7,1,0.142857,1000.000000,14000.000000,0.071429,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,90,26,26000.0,180000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,26
Deaths:,0
Fight Time:,50.577
Time Remaining:,0.0
Avg TTK:,4.709594
Damage Done:,26000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,26
Miss Count:,64
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,7.511111
Scenario:,1wall5targets_pasu_small
Hash:,8078ea342d61225bffac37d1fc686d42
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:45:45.221
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,271.674286
Resolution Scale:,100.0
