Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:50:39.702,3D_target,LG v3,2.231000s,27,10,0.370370,10.000000,27.000000,0.370370,0,3
2,17:50:41.424,3D_target,LG v3,1.096000s,23,10,0.434783,10.000000,23.000000,0.434783,0,5
3,17:50:43.572,3D_target,LG v3,1.853000s,38,11,0.289474,11.000000,38.000000,0.289474,0,5
4,17:50:44.725,3D_target,LG v3,0.851000s,18,9,0.500000,9.000000,18.000000,0.500000,0,5
5,17:50:46.773,3D_target,LG v3,1.750000s,36,10,0.277778,10.000000,36.000000,0.277778,0,5
6,17:50:48.325,3D_target,LG v3,1.250000s,26,10,0.384615,10.000000,26.000000,0.384615,0,5
7,17:50:50.771,3D_target,LG v3,2.150000s,44,10,0.227273,10.000000,44.000000,0.227273,0,5
8,17:50:52.771,3D_target,LG v3,1.700000s,35,10,0.285714,10.000000,35.000000,0.285714,0,5
9,17:50:53.675,3D_target,LG v3,0.601000s,13,10,0.769231,10.000000,13.000000,0.769231,0,5
10,17:50:55.573,3D_target,LG v3,1.601000s,33,10,0.303030,10.000000,33.000000,0.303030,0,5
11,17:50:57.173,3D_target,LG v3,1.303000s,27,10,0.370370,10.000000,27.000000,0.370370,0,5
12,17:50:58.299,3D_target,LG v3,0.825000s,16,10,0.625000,10.000000,16.000000,0.625000,0,5
13,17:50:59.654,3D_target,LG v3,1.051000s,22,10,0.454545,10.000000,22.000000,0.454545,0,5
14,17:51:01.056,3D_target,LG v3,1.103000s,23,10,0.434783,10.000000,23.000000,0.434783,0,5
15,17:51:02.650,3D_target,LG v3,1.296000s,27,10,0.370370,10.000000,27.000000,0.370370,0,5
16,17:51:04.003,3D_target,LG v3,1.050000s,22,10,0.454545,10.000000,22.000000,0.454545,0,5
17,17:51:05.403,3D_target,LG v3,1.103000s,23,10,0.434783,10.000000,23.000000,0.434783,0,5
18,17:51:06.501,3D_target,LG v3,0.802000s,17,10,0.588235,10.000000,17.000000,0.588235,0,5
19,17:51:07.550,3D_target,LG v3,0.750000s,16,10,0.625000,10.000000,16.000000,0.625000,0,5
20,17:51:09.051,3D_target,LG v3,1.199000s,25,10,0.400000,10.000000,25.000000,0.400000,0,5
21,17:51:10.652,3D_target,LG v3,1.304000s,27,10,0.370370,10.000000,27.000000,0.370370,0,5
22,17:51:12.056,3D_target,LG v3,1.100000s,23,10,0.434783,10.000000,23.000000,0.434783,0,5
23,17:51:14.052,3D_target,LG v3,1.704000s,35,10,0.285714,10.000000,35.000000,0.285714,0,5
24,17:51:17.005,3D_target,LG v3,2.650000s,54,10,0.185185,10.000000,54.000000,0.185185,0,5
25,17:51:18.507,3D_target,LG v3,1.201000s,25,10,0.400000,10.000000,25.000000,0.400000,0,5
26,17:51:20.004,3D_target,LG v3,1.202000s,25,10,0.400000,10.000000,25.000000,0.400000,0,5
27,17:51:21.803,3D_target,LG v3,1.500000s,31,10,0.322581,10.000000,31.000000,0.322581,0,5
28,17:51:23.252,3D_target,LG v3,1.149000s,24,10,0.416667,10.000000,24.000000,0.416667,0,5
29,17:51:25.250,3D_target,LG v3,1.699000s,35,10,0.285714,10.000000,35.000000,0.285714,0,5
30,17:51:28.456,3D_target,LG v3,2.905000s,59,10,0.169492,10.000000,59.000000,0.169492,0,5
31,17:51:30.502,3D_target,LG v3,1.752000s,36,10,0.277778,10.000000,36.000000,0.277778,0,5
32,17:51:32.398,3D_target,LG v3,1.597000s,33,10,0.303030,10.000000,33.000000,0.303030,0,5
33,17:51:33.804,3D_target,LG v3,1.100000s,23,10,0.434783,10.000000,23.000000,0.434783,0,5
34,17:51:35.300,3D_target,LG v3,1.198000s,25,10,0.400000,10.000000,25.000000,0.400000,0,5
35,17:51:36.586,3D_target,LG v3,1.103000s,23,10,0.434783,10.000000,23.000000,0.434783,0,2

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG v3,989,350,350.0,989.0,

Kills:,35
Deaths:,0
Fight Time:,48.729
Time Remaining:,0.0
Avg TTK:,1.714276
Damage Done:,350.0
Total Overshots:,170
Damage Taken:,0.0
Hit Count:,350
Miss Count:,639
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,350.0
Scenario:,3D Switching
Hash:,0a65512f508cc3886a36abceb8cd54b4
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:50:36.597
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,221.92305
Resolution Scale:,100.0
