Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:49:16.837,Low,pistol,7.740000s,8,3,0.375000,3.000000,8.000000,0.375000,0,0
2,14:49:20.243,Mid,pistol,2.697000s,3,3,1.000000,3.000000,3.000000,1.000000,0,0
3,14:49:34.680,High,pistol,13.218000s,11,3,0.272727,3.000000,11.000000,0.272727,0,0
4,14:49:48.013,Mid,pistol,11.023001s,11,4,0.363636,4.000000,11.000000,0.363636,0,0
5,14:50:02.434,Mid,pistol,11.588000s,9,2,0.222222,2.000000,9.000000,0.222222,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,46,17,17.0,46.0,

Kills:,5
Deaths:,0
Fight Time:,46.265999
Time Remaining:,0.0
Avg TTK:,14.117552
Damage Done:,17.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,17
Miss Count:,29
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,4
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3.4
Scenario:,B180 30% Smaller 3-Click
Hash:,a7da1a3fa67571497ca48e42d82674eb
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:49:07.995
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,263.739838
Resolution Scale:,100.0
