Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:50:34.929,Mid,pistol,12.455001s,10,3,0.300000,3.000000,10.000000,0.300000,0,0
2,14:50:50.756,Low,pistol,14.410001s,12,5,0.416667,5.000000,12.000000,0.416667,0,0
3,14:50:52.646,Mid,pistol,1.119000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
4,14:51:08.671,High,pistol,14.893001s,12,3,0.250000,3.000000,12.000000,0.250000,0,0
5,14:51:17.107,Mid,pistol,7.403000s,6,3,0.500000,3.000000,6.000000,0.500000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,46,16,16.0,46.0,

Kills:,5
Deaths:,0
Fight Time:,50.279999
Time Remaining:,0.0
Avg TTK:,14.117552
Damage Done:,16.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,16
Miss Count:,30
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,3
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3.2
Scenario:,B180 30% Smaller 3-Click
Hash:,a7da1a3fa67571497ca48e42d82674eb
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:50:21.229
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,262.820618
Resolution Scale:,100.0
