Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:51:49.300,Low,pistol,8.321000s,8,5,0.625000,5.000000,8.000000,0.625000,0,0
2,14:52:03.734,Mid,pistol,13.781001s,14,5,0.357143,5.000000,14.000000,0.357143,0,0
3,14:52:04.379,Mid,pistol,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,14:52:15.588,Mid,pistol,9.927000s,9,4,0.444444,4.000000,9.000000,0.444444,0,0
5,14:52:20.594,High,pistol,3.490000s,3,2,0.666667,2.000000,3.000000,0.666667,0,0
6,14:52:24.120,Low,pistol,2.569000s,3,2,0.666667,2.000000,3.000000,0.666667,0,0
7,14:52:30.159,High,pistol,5.461000s,5,2,0.400000,2.000000,5.000000,0.400000,0,0
8,14:52:37.671,Mid,pistol,6.903000s,7,3,0.428571,3.000000,7.000000,0.428571,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,53,24,24.0,53.0,

Kills:,8
Deaths:,0
Fight Time:,50.452
Time Remaining:,0.0
Avg TTK:,8.82347
Damage Done:,24.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,24
Miss Count:,29
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,5
Distance Traveled:,0.0
MBS Points:,0.0
Score:,4.8
Scenario:,B180 30% Smaller 3-Click
Hash:,a7da1a3fa67571497ca48e42d82674eb
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:51:39.770
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,260.552643
Resolution Scale:,100.0
