Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,13:56:31.273,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,13:56:33.056,High,b180 pistol,1.032000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
3,13:56:34.215,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
4,13:56:37.577,Low,b180 pistol,2.157000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
5,13:56:39.601,Mid,b180 pistol,1.176000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
6,13:56:46.914,Mid,b180 pistol,6.453000s,9,1,0.111111,50.000000,1125.000000,0.044444,0,0
7,13:56:47.623,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,13:56:48.297,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
9,13:56:49.327,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
10,13:56:50.477,Low,b180 pistol,0.602000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
11,13:56:51.181,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,13:56:53.562,Mid,b180 pistol,1.034000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
13,13:56:57.540,Low,b180 pistol,2.927000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
14,13:57:01.386,Mid,b180 pistol,2.929000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
15,13:57:03.091,Mid,b180 pistol,1.072000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
16,13:57:04.085,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
17,13:57:06.102,High,b180 pistol,0.321000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
18,13:57:07.485,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
19,13:57:09.931,Mid,b180 pistol,1.026000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
20,13:57:11.210,Low,b180 pistol,0.289000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
21,13:57:12.262,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
22,13:57:15.002,Mid,b180 pistol,1.367000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
23,13:57:17.526,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,13:57:18.865,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
25,13:57:20.141,Low,b180 pistol,0.291000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
26,13:57:21.314,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
27,13:57:23.439,High,b180 pistol,1.146000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
28,13:57:24.334,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
29,13:57:25.143,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
30,13:57:28.818,Mid,b180 pistol,3.049000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
31,13:57:29.848,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,68,31,1550.0,8500.0,

Kills:,31
Deaths:,0
Fight Time:,26.871
Time Remaining:,0.0
Avg TTK:,2.277025
Damage Done:,1550.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,31
Miss Count:,37
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,6
Distance Traveled:,0.0
MBS Points:,0.0
Score:,31.0
Scenario:,B180 Voltaic Easy
Hash:,db473df7a6afe5911bcd4eaabe1996c6
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,13:56:30.393
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,237.121902
Resolution Scale:,100.0
