Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:32:23.899,High,pistol,0.595000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
2,16:32:24.811,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,16:32:26.990,Low,pistol,1.110000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
4,16:32:27.832,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
5,16:32:28.621,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,16:32:29.518,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
7,16:32:31.126,High,pistol,0.718000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
8,16:32:32.744,Mid,pistol,0.304000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
9,16:32:33.876,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
10,16:32:35.086,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,16:32:35.928,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,16:32:36.864,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
13,16:32:38.630,Low,pistol,1.036000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
14,16:32:39.348,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
15,16:32:40.013,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,16:32:40.998,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
17,16:32:42.637,Mid,pistol,0.454000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
18,16:32:43.676,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
19,16:32:48.822,Low,pistol,4.146000s,6,1,0.166667,50.000000,750.000000,0.066667,0,0
20,16:32:52.303,Mid,pistol,2.900000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
21,16:32:53.509,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
22,16:32:54.983,Mid,pistol,1.021000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
23,16:32:56.152,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,16:32:58.339,Low,pistol,0.977000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
25,16:32:58.859,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
26,16:33:00.006,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
27,16:33:01.318,Low,pistol,0.346000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
28,16:33:03.965,High,pistol,1.451000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
29,16:33:04.545,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
30,16:33:05.537,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
31,16:33:06.701,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
32,16:33:09.257,Mid,pistol,1.494000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
33,16:33:12.271,High,pistol,2.218000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
34,16:33:13.291,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
35,16:33:15.201,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
36,16:33:15.939,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
37,16:33:17.751,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
38,16:33:19.813,Mid,pistol,0.913000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
39,16:33:21.216,High,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
40,16:33:22.401,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
41,16:33:23.665,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
42,16:33:24.902,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
43,16:33:30.073,Low,pistol,3.017000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
44,16:33:32.264,Mid,pistol,1.150000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
45,16:33:33.243,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
46,16:33:35.950,Mid,pistol,1.698000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
47,16:33:36.888,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
48,16:33:41.092,Mid,pistol,2.192000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
49,16:33:46.202,Mid,pistol,4.319000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
50,16:33:47.476,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
51,16:33:50.551,Low,pistol,1.778000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
52,16:33:52.296,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
53,16:33:54.175,Mid,pistol,0.970000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
54,16:33:56.768,High,pistol,1.462000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
55,16:33:58.273,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
56,16:34:03.531,Low,pistol,4.077000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
57,16:34:06.300,Mid,pistol,1.239000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
58,16:34:07.232,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
59,16:34:08.779,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
60,16:34:11.048,Mid,pistol,0.809000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
61,16:34:11.631,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
62,16:34:14.833,Low,pistol,2.312000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
63,16:34:15.641,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
64,16:34:16.911,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
65,16:34:18.227,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
66,16:34:19.444,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
67,16:34:22.433,High,pistol,1.521000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
68,16:34:23.814,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
69,16:34:25.739,Mid,pistol,1.295000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
70,16:34:28.352,High,pistol,1.278000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
71,16:34:31.102,Mid,pistol,1.545000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
72,16:34:34.044,Mid,pistol,1.646000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
73,16:34:34.907,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
74,16:34:36.443,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
75,16:34:37.422,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
76,16:34:41.354,Mid,pistol,2.500000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
77,16:34:42.658,High,pistol,0.669000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
78,16:34:43.552,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
79,16:34:45.174,High,pistol,0.806000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
80,16:34:46.287,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
81,16:34:48.663,Mid,pistol,0.796000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
82,16:34:51.044,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
83,16:34:52.337,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
84,16:34:53.369,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
85,16:34:54.547,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
86,16:34:55.402,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
87,16:34:57.656,Low,pistol,1.113000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
88,16:34:59.717,Mid,pistol,1.312000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
89,16:35:00.577,Mid,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
90,16:35:01.331,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
91,16:35:02.717,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
92,16:35:06.079,High,pistol,2.330000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
93,16:35:06.750,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
94,16:35:07.689,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
95,16:35:08.688,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
96,16:35:10.966,Mid,pistol,1.143000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
97,16:35:12.153,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
98,16:35:13.138,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
99,16:35:13.935,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
100,16:35:14.689,Mid,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
101,16:35:15.358,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
102,16:35:20.818,High,pistol,4.671000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
103,16:35:22.855,High,pistol,1.248000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
104,16:35:23.815,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
105,16:35:25.190,Mid,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
106,16:35:26.683,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
107,16:35:27.346,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
108,16:35:28.071,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
109,16:35:29.080,Mid,pistol,0.290000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
110,16:35:30.425,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
111,16:35:31.833,Mid,pistol,0.293000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
112,16:35:32.857,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
113,16:35:34.204,Mid,pistol,0.933000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
114,16:35:34.807,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
115,16:35:35.649,High,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
116,16:35:39.022,Low,pistol,2.685000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
117,16:35:40.047,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
118,16:35:41.418,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
119,16:35:44.924,Mid,pistol,2.437000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
120,16:35:45.983,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
121,16:35:46.654,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
122,16:35:48.515,Mid,pistol,1.266000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
123,16:35:49.357,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
124,16:35:52.057,High,pistol,1.391000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
125,16:35:53.522,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
126,16:35:54.840,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
127,16:35:56.323,High,pistol,0.801000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
128,16:35:57.099,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
129,16:35:57.863,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
130,16:36:01.324,Mid,pistol,2.694000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
131,16:36:02.247,Mid,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
132,16:36:03.737,High,pistol,0.644000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
133,16:36:05.564,Low,pistol,1.151000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
134,16:36:06.956,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
135,16:36:09.446,Low,pistol,1.719000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
136,16:36:10.006,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
137,16:36:10.791,Mid,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
138,16:36:11.417,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
139,16:36:13.781,High,pistol,1.631000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
140,16:36:16.338,Low,pistol,1.242000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
141,16:36:17.080,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
142,16:36:20.788,Low,pistol,3.024000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
143,16:36:22.426,Mid,pistol,0.556000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
144,16:36:26.087,Low,pistol,2.930000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
145,16:36:26.644,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
146,16:36:29.266,Mid,pistol,1.539000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
147,16:36:31.946,Mid,pistol,2.176000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
148,16:36:33.048,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
149,16:36:35.180,High,pistol,1.181000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
150,16:36:35.667,Mid,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
151,16:36:37.310,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
152,16:36:37.938,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
153,16:36:39.224,Low,pistol,0.763000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
154,16:36:40.602,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
155,16:36:44.660,Low,pistol,3.242000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
156,16:36:49.248,High,pistol,3.130000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
157,16:36:51.256,High,pistol,1.153000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
158,16:36:51.935,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
159,16:36:52.943,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
160,16:36:54.356,High,pistol,0.672000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
161,16:36:56.397,Mid,pistol,1.354000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
162,16:36:58.012,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
163,16:36:58.821,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
164,16:37:00.528,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
165,16:37:01.551,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
166,16:37:02.765,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
167,16:37:03.955,Low,pistol,0.635000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
168,16:37:05.363,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
169,16:37:06.544,High,pistol,0.286000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
170,16:37:07.750,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
171,16:37:08.311,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
172,16:37:09.394,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
173,16:37:12.851,High,pistol,2.081000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
174,16:37:13.777,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
175,16:37:15.086,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
176,16:37:17.230,Low,pistol,1.108000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
177,16:37:19.930,Mid,pistol,1.620000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
178,16:37:20.482,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
179,16:37:21.127,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
180,16:37:24.086,Low,pistol,1.828000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
181,16:37:26.314,Mid,pistol,1.469000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
182,16:37:27.521,Mid,pistol,0.481000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
183,16:37:28.635,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
184,16:37:29.992,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
185,16:37:31.144,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
186,16:37:32.529,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
187,16:37:33.727,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
188,16:37:37.323,High,pistol,2.313000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
189,16:37:39.347,Mid,pistol,1.386000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
190,16:37:42.980,Mid,pistol,2.889000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
191,16:37:43.987,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
192,16:37:45.181,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
193,16:37:46.850,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
194,16:37:47.845,Low,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
195,16:37:48.948,Mid,pistol,0.790000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
196,16:37:49.973,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
197,16:37:51.935,Mid,pistol,1.183000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
198,16:37:53.777,Mid,pistol,1.017000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
199,16:37:54.845,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
200,16:37:55.657,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
201,16:37:56.492,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
202,16:37:59.308,Mid,pistol,1.852000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
203,16:38:00.089,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
204,16:38:02.053,Mid,pistol,1.020000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
205,16:38:04.054,Mid,pistol,1.086000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
206,16:38:05.705,Low,pistol,0.940000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
207,16:38:06.985,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
208,16:38:11.202,Mid,pistol,3.117000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
209,16:38:11.939,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
210,16:38:15.765,Low,pistol,2.668000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
211,16:38:17.353,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
212,16:38:18.680,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
213,16:38:20.516,Low,pistol,1.350000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
214,16:38:23.264,Mid,pistol,1.691000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
215,16:38:25.819,Mid,pistol,1.383000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
216,16:38:27.467,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
217,16:38:29.286,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
218,16:38:31.867,High,pistol,1.632000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
219,16:38:34.476,Mid,pistol,1.008000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
220,16:38:36.325,Mid,pistol,1.171000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
221,16:38:37.250,Low,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
222,16:38:39.537,Low,pistol,1.285000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
223,16:38:40.897,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
224,16:38:42.610,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
225,16:38:44.547,Mid,pistol,0.784000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
226,16:38:49.294,Low,pistol,3.972000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
227,16:38:49.818,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
228,16:38:53.256,High,pistol,2.711000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
229,16:38:53.799,Mid,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
230,16:38:55.219,High,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
231,16:38:58.900,Mid,pistol,1.641000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
232,16:38:59.587,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
233,16:39:01.304,High,pistol,1.187000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
234,16:39:02.734,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
235,16:39:03.836,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
236,16:39:05.147,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
237,16:39:06.339,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
238,16:39:07.596,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
239,16:39:13.600,High,pistol,4.776000s,7,1,0.142857,50.000000,875.000000,0.057143,0,0
240,16:39:14.877,Mid,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
241,16:39:16.076,Low,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
