Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:57:54.017,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,22:57:58.230,Mid,b180 pistol,3.839000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
3,22:58:01.459,High,b180 pistol,2.843000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
4,22:58:02.563,Mid,b180 pistol,0.775000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
5,22:58:02.956,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,22:58:04.229,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
7,22:58:05.135,Low,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,22:58:06.663,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
9,22:58:09.866,High,b180 pistol,2.700000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
10,22:58:12.083,Mid,b180 pistol,0.814000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
11,22:58:12.967,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,22:58:13.530,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
13,22:58:14.254,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
14,22:58:14.997,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
15,22:58:15.442,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,22:58:17.195,High,b180 pistol,0.909000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
17,22:58:17.826,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
18,22:58:20.110,Mid,b180 pistol,1.512000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
19,22:58:21.191,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
20,22:58:23.348,Mid,b180 pistol,1.221000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
21,22:58:24.627,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
22,22:58:26.169,Mid,b180 pistol,0.935000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
23,22:58:26.777,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,22:58:27.347,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
25,22:58:29.242,Low,b180 pistol,0.818000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
26,22:58:29.952,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
27,22:58:31.738,High,b180 pistol,0.560000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
28,22:58:35.471,Low,b180 pistol,3.361000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
29,22:58:36.998,Mid,b180 pistol,1.197000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
30,22:58:40.224,Mid,b180 pistol,2.103000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
31,22:58:40.809,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
32,22:58:46.005,High,b180 pistol,3.014000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
33,22:58:46.513,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
34,22:58:47.495,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
35,22:58:48.686,Mid,b180 pistol,0.438000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
36,22:58:49.875,Low,b180 pistol,0.708000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
37,22:58:51.276,Mid,b180 pistol,0.879000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
38,22:58:52.259,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,68,38,1900.0,8500.0,

Kills:,38
Deaths:,0
Fight Time:,28.629999
Time Remaining:,0.0
Avg TTK:,1.857573
Damage Done:,1900.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,38
Miss Count:,30
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,4
Distance Traveled:,0.0
MBS Points:,0.0
Score:,38.0
Scenario:,B180 Voltaic Intermediate Barriers
Hash:,c81d7fc5d661e76cc15847c2a06aac53
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:57:52.971
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,243.578888
Resolution Scale:,100.0
