Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:27:21.750,High,B180T LG,0.267000s,6,5,0.833333,5.000000,6.000000,0.833333,0,4
2,14:27:23.210,Mid,B180T LG,1.133000s,22,5,0.227273,5.000000,22.000000,0.227273,0,2
3,14:27:24.830,Low,B180T LG,0.863000s,17,5,0.294118,5.000000,17.000000,0.294118,0,3
4,14:27:25.640,Mid,B180T LG,0.320000s,7,5,0.714286,5.000000,7.000000,0.714286,0,4
5,14:27:28.023,Mid,B180T LG,0.971000s,19,5,0.263158,5.000000,19.000000,0.263158,0,4
6,14:27:29.374,High,B180T LG,0.378000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
7,14:27:32.287,Mid,B180T LG,2.437000s,41,6,0.146341,6.000000,41.000000,0.146341,0,4
8,14:27:33.567,Low,B180T LG,0.753000s,15,4,0.266667,4.000000,15.000000,0.266667,0,3
9,14:27:34.508,Mid,B180T LG,0.270000s,6,5,0.833333,5.000000,6.000000,0.833333,0,5
10,14:27:35.760,Low,B180T LG,0.376000s,8,5,0.625000,5.000000,8.000000,0.625000,0,4
11,14:27:36.925,Mid,B180T LG,0.265000s,6,5,0.833333,5.000000,6.000000,0.833333,0,4
12,14:27:38.647,Low,B180T LG,1.025000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
13,14:27:40.714,High,B180T LG,1.081000s,21,5,0.238095,5.000000,21.000000,0.238095,0,3
14,14:27:42.580,Mid,B180T LG,1.513000s,29,5,0.172414,5.000000,29.000000,0.172414,0,2
15,14:27:43.854,High,B180T LG,0.378000s,8,5,0.625000,5.000000,8.000000,0.625000,0,3
16,14:27:44.880,Mid,B180T LG,0.731000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
17,14:27:47.383,Mid,B180T LG,1.729000s,33,5,0.151515,5.000000,33.000000,0.151515,0,4
18,14:27:48.863,High,B180T LG,0.269000s,6,5,0.833333,5.000000,6.000000,0.833333,0,4
19,14:27:50.127,High,B180T LG,0.375000s,8,5,0.625000,5.000000,8.000000,0.625000,0,4
20,14:27:51.659,Mid,B180T LG,0.216000s,5,5,1.000000,5.000000,5.000000,1.000000,0,3
21,14:27:52.803,Mid,B180T LG,0.590000s,12,5,0.416667,5.000000,12.000000,0.416667,0,1
22,14:27:54.443,Mid,B180T LG,1.325000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
23,14:27:56.316,Low,B180T LG,1.405000s,27,5,0.185185,5.000000,27.000000,0.185185,0,3
24,14:27:58.303,Low,B180T LG,0.699000s,14,5,0.357143,5.000000,14.000000,0.357143,0,4
25,14:27:59.183,Low,B180T LG,0.216000s,5,5,1.000000,5.000000,5.000000,1.000000,0,4
26,14:28:01.962,Low,B180T LG,2.318000s,33,5,0.151515,5.000000,33.000000,0.151515,0,4
27,14:28:04.289,Mid,B180T LG,1.186000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
28,14:28:05.817,Mid,B180T LG,1.026000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
29,14:28:07.313,Mid,B180T LG,0.700000s,14,5,0.357143,5.000000,14.000000,0.357143,0,4
30,14:28:09.869,High,B180T LG,1.834000s,35,5,0.142857,5.000000,35.000000,0.142857,0,4
31,14:28:11.653,High,B180T LG,1.239000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
32,14:28:12.385,Mid,B180T LG,0.213000s,5,5,1.000000,5.000000,5.000000,1.000000,0,5
33,14:28:13.875,Mid,B180T LG,0.375000s,8,5,0.625000,5.000000,8.000000,0.625000,0,3
34,14:28:15.138,Mid,B180T LG,0.807000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
35,14:28:17.136,High,B180T LG,0.863000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
36,14:28:18.739,Low,B180T LG,1.188000s,23,5,0.217391,5.000000,23.000000,0.217391,0,4
37,14:28:19.648,High,B180T LG,0.372000s,8,5,0.625000,5.000000,8.000000,0.625000,0,3

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,598,185,185.0,598.0,

Kills:,37
Deaths:,0
Fight Time:,31.705999
Time Remaining:,0.0
Avg TTK:,1.907777
Damage Done:,185.0
Total Overshots:,144
Damage Taken:,0.0
Hit Count:,185
Miss Count:,413
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,37.0
Scenario:,B180T Voltaic Easy
Hash:,7dc82f72862d76f550013b0c9dd446fe
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:27:20.376
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,235.729691
Resolution Scale:,100.0
