Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:00:05.404,Low,B180T LG,2.106000s,40,6,0.150000,6.000000,40.000000,0.150000,0,5
2,21:00:07.082,Mid,B180T LG,1.353000s,26,4,0.153846,4.000000,26.000000,0.153846,0,5
3,21:00:09.028,Mid,B180T LG,1.624000s,31,5,0.161290,5.000000,31.000000,0.161290,0,5
4,21:00:10.329,High,B180T LG,0.975000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
5,21:00:13.467,Mid,B180T LG,2.815000s,53,5,0.094340,5.000000,53.000000,0.094340,0,5
6,21:00:14.767,High,B180T LG,0.976000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
7,21:00:17.471,Mid,B180T LG,2.381000s,45,5,0.111111,5.000000,45.000000,0.111111,0,5
8,21:00:18.934,High,B180T LG,1.133000s,22,5,0.227273,5.000000,22.000000,0.227273,0,5
9,21:00:21.640,Low,B180T LG,2.382000s,45,6,0.133333,6.000000,45.000000,0.133333,0,5
10,21:00:22.616,Mid,B180T LG,0.651000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
11,21:00:25.481,Mid,B180T LG,2.541000s,48,4,0.083333,4.000000,48.000000,0.083333,0,5
12,21:00:27.377,Low,B180T LG,1.571000s,30,5,0.166667,5.000000,30.000000,0.166667,0,5
13,21:00:28.891,Low,B180T LG,1.190000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
14,21:00:30.301,Mid,B180T LG,1.083000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
15,21:00:34.303,High,B180T LG,3.680000s,69,5,0.072464,5.000000,69.000000,0.072464,0,5
16,21:00:37.171,Mid,B180T LG,2.544000s,48,5,0.104167,5.000000,48.000000,0.104167,0,5
17,21:00:38.311,Mid,B180T LG,0.815000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
18,21:00:40.199,High,B180T LG,1.566000s,30,5,0.166667,5.000000,30.000000,0.166667,0,5
19,21:00:42.423,Mid,B180T LG,1.894000s,36,5,0.138889,5.000000,36.000000,0.138889,0,5
20,21:00:46.319,Low,B180T LG,3.573000s,67,5,0.074627,5.000000,67.000000,0.074627,0,5
21,21:00:48.646,Mid,B180T LG,2.003000s,38,5,0.131579,5.000000,38.000000,0.131579,0,5
22,21:00:49.970,Low,B180T LG,1.194000s,23,5,0.217391,5.000000,23.000000,0.217391,0,1
23,21:00:52.516,Low,B180T LG,2.273000s,43,5,0.116279,5.000000,43.000000,0.116279,0,4
24,21:00:53.837,Mid,B180T LG,1.024000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
25,21:00:56.817,Mid,B180T LG,2.654000s,50,5,0.100000,5.000000,50.000000,0.100000,0,5
26,21:00:59.576,High,B180T LG,2.436000s,46,5,0.108696,5.000000,46.000000,0.108696,0,5
27,21:01:01.415,Mid,B180T LG,1.514000s,29,5,0.172414,5.000000,29.000000,0.172414,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,965,135,135.0,965.0,

Kills:,27
Deaths:,0
Fight Time:,49.951
Time Remaining:,0.0
Avg TTK:,2.614362
Damage Done:,135.0
Total Overshots:,130
Damage Taken:,0.0
Hit Count:,135
Miss Count:,830
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,27.0
Scenario:,B180T Voltaic Easy
Hash:,7dc82f72862d76f550013b0c9dd446fe
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,21:00:02.238
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,255.048218
Resolution Scale:,100.0
