Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:36:31.855,High,B180T LG,0.699000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
2,22:36:36.065,Mid,B180T LG,3.957000s,72,9,0.125000,9.000000,72.000000,0.125000,0,4
3,22:36:37.220,Low,B180T LG,0.105000s,3,1,0.333333,1.000000,3.000000,0.333333,0,5
4,22:36:38.786,Mid,B180T LG,1.241000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
5,22:36:39.657,Mid,B180T LG,0.546000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
6,22:36:42.193,High,B180T LG,2.218000s,42,7,0.166667,7.000000,42.000000,0.166667,0,5
7,22:36:44.252,Mid,B180T LG,1.729000s,33,4,0.121212,4.000000,33.000000,0.121212,0,5
8,22:36:45.064,Low,B180T LG,0.487000s,10,5,0.500000,5.000000,10.000000,0.500000,0,5
9,22:36:46.903,High,B180T LG,1.514000s,29,5,0.172414,5.000000,29.000000,0.172414,0,5
10,22:36:48.718,Mid,B180T LG,1.553000s,13,5,0.384615,5.000000,13.000000,0.384615,0,4
11,22:36:49.868,Low,B180T LG,0.374000s,8,4,0.500000,4.000000,8.000000,0.500000,0,3
12,22:36:53.768,Mid,B180T LG,3.135000s,57,6,0.105263,6.000000,57.000000,0.105263,0,4
13,22:36:55.114,Low,B180T LG,0.594000s,12,4,0.333333,4.000000,12.000000,0.333333,0,5
14,22:36:58.058,Mid,B180T LG,1.893000s,36,6,0.166667,6.000000,36.000000,0.166667,0,5
15,22:36:59.601,High,B180T LG,1.242000s,15,4,0.266667,4.000000,15.000000,0.266667,0,5
16,22:37:00.614,Mid,B180T LG,0.265000s,6,5,0.833333,5.000000,6.000000,0.833333,0,5
17,22:37:04.156,Low,B180T LG,2.386000s,35,5,0.142857,5.000000,35.000000,0.142857,0,5
18,22:37:06.116,Mid,B180T LG,1.243000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
19,22:37:11.795,Mid,B180T LG,4.238000s,67,9,0.134328,9.000000,67.000000,0.134328,0,5
20,22:37:14.063,High,B180T LG,1.949000s,37,5,0.135135,5.000000,37.000000,0.135135,0,5
21,22:37:14.840,High,B180T LG,0.454000s,4,1,0.250000,1.000000,4.000000,0.250000,0,5
22,22:37:16.281,Mid,B180T LG,0.536000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
23,22:37:20.175,High,B180T LG,2.788000s,37,5,0.135135,5.000000,37.000000,0.135135,0,5
24,22:37:21.854,Mid,B180T LG,1.353000s,26,5,0.192308,5.000000,26.000000,0.192308,0,5
25,22:37:23.018,Low,B180T LG,0.839000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
26,22:37:25.250,Mid,B180T LG,1.186000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
27,22:37:28.283,Mid,B180T LG,2.710000s,51,6,0.117647,6.000000,51.000000,0.117647,0,5
28,22:37:30.017,Mid,B180T LG,1.411000s,17,4,0.235294,4.000000,17.000000,0.235294,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,729,140,140.0,729.0,

Kills:,28
Deaths:,0
Fight Time:,42.645
Time Remaining:,0.0
Avg TTK:,2.520992
Damage Done:,140.0
Total Overshots:,135
Damage Taken:,0.0
Hit Count:,140
Miss Count:,589
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,28.0
Scenario:,B180T Voltaic Easy
Hash:,7dc82f72862d76f550013b0c9dd446fe
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:36:30.283
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,224.563431
Resolution Scale:,100.0
