Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:21:50.479,Low,B180T LG,0.866000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
2,17:21:51.451,High,B180T LG,0.651000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
3,17:21:53.239,Mid,B180T LG,1.465000s,28,7,0.250000,7.000000,28.000000,0.250000,0,5
4,17:21:54.371,Mid,B180T LG,0.811000s,16,3,0.187500,3.000000,16.000000,0.187500,0,5
5,17:21:55.453,High,B180T LG,0.758000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
6,17:21:56.671,Mid,B180T LG,0.917000s,18,5,0.277778,5.000000,18.000000,0.277778,0,4
7,17:21:58.674,Mid,B180T LG,1.788000s,34,7,0.205882,7.000000,34.000000,0.205882,0,3
8,17:21:59.673,Low,B180T LG,0.702000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
9,17:22:00.811,Mid,B180T LG,0.814000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
10,17:22:01.783,Low,B180T LG,0.649000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
11,17:22:02.599,Mid,B180T LG,0.487000s,10,3,0.300000,3.000000,10.000000,0.300000,0,5
12,17:22:03.408,Low,B180T LG,0.483000s,10,5,0.500000,5.000000,10.000000,0.500000,0,5
13,17:22:05.573,Mid,B180T LG,1.841000s,35,5,0.142857,5.000000,35.000000,0.142857,0,5
14,17:22:06.760,High,B180T LG,0.867000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
15,17:22:07.681,High,B180T LG,0.596000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
16,17:22:08.602,High,B180T LG,0.592000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
17,17:22:10.172,Mid,B180T LG,1.247000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
18,17:22:11.961,Mid,B180T LG,1.462000s,28,5,0.178571,5.000000,28.000000,0.178571,0,5
