Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:33:26.379,Pigeon,LG,1.239000s,24,20,0.833333,120.000000,144.000000,0.833333,0,5
2,22:33:29.094,Pigeon,LG,2.271000s,43,20,0.465116,120.000000,258.000000,0.465116,0,5
3,22:33:30.741,Pigeon,LG,1.565000s,30,20,0.666667,120.000000,180.000000,0.666667,0,0
4,22:33:32.741,Pigeon,LG,1.949000s,37,20,0.540541,120.000000,222.000000,0.540541,0,0
5,22:33:35.584,Pigeon,LG,2.545000s,48,20,0.416667,120.000000,288.000000,0.416667,0,5
6,22:33:37.560,Pigeon,LG,1.790000s,34,20,0.588235,120.000000,204.000000,0.588235,0,2
7,22:33:39.535,Pigeon,LG,1.678000s,32,20,0.625000,120.000000,192.000000,0.625000,0,5
8,22:33:42.189,Pigeon,LG,2.330000s,44,20,0.454545,120.000000,264.000000,0.454545,0,5
9,22:33:45.003,Pigeon,LG,2.490000s,47,20,0.425532,120.000000,282.000000,0.425532,0,5
10,22:33:48.136,Pigeon,LG,2.814000s,53,20,0.377358,120.000000,318.000000,0.377358,0,5
11,22:33:50.982,Pigeon,LG,2.759000s,52,20,0.384615,120.000000,312.000000,0.384615,0,0
12,22:33:53.496,Pigeon,LG,2.218000s,42,20,0.476190,120.000000,252.000000,0.476190,0,5
13,22:33:56.531,Pigeon,LG,2.705000s,51,20,0.392157,120.000000,306.000000,0.392157,0,5
14,22:33:59.552,Pigeon,LG,2.760000s,52,20,0.384615,120.000000,312.000000,0.384615,0,4

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,589,280,1680.0,3534.0,

Kills:,14
Deaths:,0
Fight Time:,31.113001
Time Remaining:,0.0
Avg TTK:,2.96589
Damage Done:,1680.0
Total Overshots:,51
Damage Taken:,0.0
Hit Count:,280
Miss Count:,309
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,14.0
Scenario:,Bounce 180 Tracking Large Slower TTK
Hash:,c0113e21fcc697943fbce0488229b0e7
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:33:24.271
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,230.083267
Resolution Scale:,100.0
