Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,11:58:22.557,Quaker Bot Fast Strafes,LG,7.120000s,155,67,0.432258,402.000000,930.000000,0.432258,0,5
2,11:58:31.298,Quaker Bot Fast Strafes,LG,8.467000s,185,67,0.362162,402.000000,1110.000000,0.362162,0,5
3,11:58:43.260,Quaker Bot Fast Strafes,LG,11.762000s,256,67,0.261719,402.000000,1536.000000,0.261719,0,3
4,11:58:54.447,Quaker Bot Fast Strafes,LG,10.910001s,237,67,0.282700,402.000000,1422.000000,0.282700,0,5
5,11:59:03.238,Quaker Bot Fast Strafes,LG,8.616000s,188,67,0.356383,402.000000,1128.000000,0.356383,0,3

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1280,388,2328.0,7680.0,

Kills:,5
Deaths:,0
Fight Time:,46.875
Time Remaining:,0.0
Avg TTK:,11.999931
Damage Done:,2328.0
Total Overshots:,21
Damage Taken:,0.0
Hit Count:,388
Miss Count:,892
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,53628.847656
MBS Points:,4706.492676
Score:,11690.492188
Scenario:,Close FS Easy Dodge
Hash:,62ce302419036d82d8c563a647b85903
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,11:58:15.177
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,236.01181
Resolution Scale:,100.0
