Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:19:27.252,Quaker Bot Fast Strafes,LG,4.516000s,66,50,0.757576,300.000000,396.000000,0.757576,0,5
2,22:19:34.642,Quaker Bot Fast Strafes,LG,6.971000s,101,50,0.495050,300.000000,606.000000,0.495050,0,5
3,22:19:42.488,Quaker Bot Fast Strafes,LG,7.388000s,107,50,0.467290,300.000000,642.000000,0.467290,0,5
4,22:19:49.523,Quaker Bot Fast Strafes,LG,6.622000s,96,50,0.520833,300.000000,576.000000,0.520833,0,5
5,22:19:56.284,Quaker Bot Fast Strafes,LG,6.341000s,92,50,0.543478,300.000000,552.000000,0.543478,0,5
6,22:20:03.602,Quaker Bot Fast Strafes,LG,6.898000s,100,50,0.500000,300.000000,600.000000,0.500000,0,5
7,22:20:10.436,Quaker Bot Fast Strafes,LG,6.413000s,93,50,0.537634,300.000000,558.000000,0.537634,0,5
8,22:20:18.027,Quaker Bot Fast Strafes,LG,7.177001s,104,50,0.480769,300.000000,624.000000,0.480769,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,830,432,2592.0,4980.0,

Kills:,8
Deaths:,0
Fight Time:,52.326
Time Remaining:,0.0
Avg TTK:,11.478463
Damage Done:,2592.0
Total Overshots:,40
Damage Taken:,0.0
Hit Count:,432
Miss Count:,398
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,7776.0
Scenario:,Close Long Strafes Easy
Hash:,a8218401c0f0d1a0e5dac89f742f7afb
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:19:22.349
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,356.896881
Resolution Scale:,100.0
