Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:32:02.141,regen_dot,Track Master 100,1.175000s,25,7,0.280000,35.000000,125.000000,0.280000,0,5
2,16:32:03.892,regen_dot,Track Master 100,1.450000s,30,7,0.233333,35.000000,150.000000,0.233333,0,5
3,16:32:05.193,regen_dot,Track Master 100,1.000000s,21,7,0.333333,35.000000,105.000000,0.333333,0,5
4,16:32:05.841,regen_dot,Track Master 100,0.349000s,8,7,0.875000,35.000000,40.000000,0.875000,0,5
5,16:32:07.141,regen_dot,Track Master 100,0.997000s,21,7,0.333333,35.000000,105.000000,0.333333,0,5
6,16:32:08.643,regen_dot,Track Master 100,1.204000s,25,7,0.280000,35.000000,125.000000,0.280000,0,5
7,16:32:10.240,regen_dot,Track Master 100,1.301000s,27,7,0.259259,35.000000,135.000000,0.259259,0,5
8,16:32:12.489,regen_dot,Track Master 100,1.951000s,40,7,0.175000,35.000000,200.000000,0.175000,0,5
9,16:32:14.393,regen_dot,Track Master 100,1.598000s,33,7,0.212121,35.000000,165.000000,0.212121,0,5
10,16:32:15.990,regen_dot,Track Master 100,1.297000s,27,7,0.259259,35.000000,135.000000,0.259259,0,5
11,16:32:17.194,regen_dot,Track Master 100,0.900000s,19,7,0.368421,35.000000,95.000000,0.368421,0,5
12,16:32:18.341,regen_dot,Track Master 100,0.847000s,18,7,0.388889,35.000000,90.000000,0.388889,0,5
13,16:32:20.295,regen_dot,Track Master 100,1.649000s,34,7,0.205882,35.000000,170.000000,0.205882,0,5
14,16:32:21.944,regen_dot,Track Master 100,1.350000s,28,7,0.250000,35.000000,140.000000,0.250000,0,5
15,16:32:22.844,regen_dot,Track Master 100,0.602000s,13,7,0.538462,35.000000,65.000000,0.538462,0,5
16,16:32:24.691,regen_dot,Track Master 100,1.554000s,32,7,0.218750,35.000000,160.000000,0.218750,0,5
17,16:32:26.695,regen_dot,Track Master 100,1.704000s,35,7,0.200000,35.000000,175.000000,0.200000,0,5
18,16:32:28.541,regen_dot,Track Master 100,1.550000s,32,7,0.218750,35.000000,160.000000,0.218750,0,5
19,16:32:30.742,regen_dot,Track Master 100,1.898000s,39,7,0.179487,35.000000,195.000000,0.179487,0,5
20,16:32:32.393,regen_dot,Track Master 100,1.348000s,28,7,0.250000,35.000000,140.000000,0.250000,0,5
21,16:32:33.843,regen_dot,Track Master 100,1.146000s,24,7,0.291667,35.000000,120.000000,0.291667,0,5
22,16:32:34.895,regen_dot,Track Master 100,0.750000s,16,7,0.437500,35.000000,80.000000,0.437500,0,5
23,16:32:37.195,regen_dot,Track Master 100,2.005000s,41,7,0.170732,35.000000,205.000000,0.170732,0,5
24,16:32:38.541,regen_dot,Track Master 100,1.050000s,22,7,0.318182,35.000000,110.000000,0.318182,0,4
25,16:32:39.493,regen_dot,Track Master 100,0.699000s,15,7,0.466667,35.000000,75.000000,0.466667,0,5
26,16:32:40.945,regen_dot,Track Master 100,1.153000s,24,7,0.291667,35.000000,120.000000,0.291667,0,5
27,16:32:42.341,regen_dot,Track Master 100,1.099000s,23,7,0.304348,35.000000,115.000000,0.304348,0,5
28,16:32:43.956,regen_dot,Track Master 100,1.313000s,27,7,0.259259,35.000000,135.000000,0.259259,0,5
29,16:32:46.560,regen_dot,Track Master 100,2.301000s,47,7,0.148936,35.000000,235.000000,0.148936,0,5
30,16:32:47.456,regen_dot,Track Master 100,0.598000s,13,7,0.538462,35.000000,65.000000,0.538462,0,5
31,16:32:49.760,regen_dot,Track Master 100,2.003000s,41,7,0.170732,35.000000,205.000000,0.170732,0,5
32,16:32:51.510,regen_dot,Track Master 100,1.448000s,30,7,0.233333,35.000000,150.000000,0.233333,0,5
33,16:32:52.759,regen_dot,Track Master 100,0.949000s,20,7,0.350000,35.000000,100.000000,0.350000,0,5
34,16:32:55.410,regen_dot,Track Master 100,2.347000s,48,7,0.145833,35.000000,240.000000,0.145833,0,5
35,16:32:56.461,regen_dot,Track Master 100,0.746000s,16,7,0.437500,35.000000,80.000000,0.437500,0,5
36,16:32:58.411,regen_dot,Track Master 100,1.652000s,34,7,0.205882,35.000000,170.000000,0.205882,0,5
37,16:32:59.464,regen_dot,Track Master 100,0.750000s,16,7,0.437500,35.000000,80.000000,0.437500,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,1016,260,1300.0,5080.0,

Kills:,37
Deaths:,0
Fight Time:,47.733002
Time Remaining:,0.0
Avg TTK:,1.621612
Damage Done:,1300.0
Total Overshots:,184
Damage Taken:,0.0
Hit Count:,260
Miss Count:,756
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3900.0
Scenario:,Controlsphere TS
Hash:,89a9af83014f63edeebeab4066e2442e
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:32:00.702
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,229.473297
Resolution Scale:,100.0
