Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:33:20.189,regen_dot,Track Master 100,2.824000s,58,7,0.120690,35.000000,290.000000,0.120690,0,5
2,16:33:22.037,regen_dot,Track Master 100,1.550000s,32,7,0.218750,35.000000,160.000000,0.218750,0,5
3,16:33:23.289,regen_dot,Track Master 100,0.946000s,20,7,0.350000,35.000000,100.000000,0.350000,0,5
4,16:33:24.790,regen_dot,Track Master 100,1.197000s,25,7,0.280000,35.000000,125.000000,0.280000,0,5
5,16:33:26.637,regen_dot,Track Master 100,1.550000s,32,7,0.218750,35.000000,160.000000,0.218750,0,5
6,16:33:28.138,regen_dot,Track Master 100,1.200000s,25,7,0.280000,35.000000,125.000000,0.280000,0,5
7,16:33:30.139,regen_dot,Track Master 100,1.700000s,35,7,0.200000,35.000000,175.000000,0.200000,0,5
8,16:33:32.136,regen_dot,Track Master 100,1.701000s,35,7,0.200000,35.000000,175.000000,0.200000,0,5
9,16:33:34.141,regen_dot,Track Master 100,1.703000s,35,7,0.200000,35.000000,175.000000,0.200000,0,5
10,16:33:36.638,regen_dot,Track Master 100,2.201000s,45,7,0.155556,35.000000,225.000000,0.155556,0,5
11,16:33:39.091,regen_dot,Track Master 100,2.151000s,44,7,0.159091,35.000000,220.000000,0.159091,0,5
12,16:33:41.439,regen_dot,Track Master 100,2.054000s,42,7,0.166667,35.000000,210.000000,0.166667,0,5
13,16:33:42.691,regen_dot,Track Master 100,0.952000s,20,7,0.350000,35.000000,100.000000,0.350000,0,5
14,16:33:44.737,regen_dot,Track Master 100,1.748000s,36,7,0.194444,35.000000,180.000000,0.194444,0,5
15,16:33:46.439,regen_dot,Track Master 100,1.397000s,29,7,0.241379,35.000000,145.000000,0.241379,0,5
16,16:33:47.887,regen_dot,Track Master 100,1.148000s,24,7,0.291667,35.000000,120.000000,0.291667,0,5
17,16:33:50.336,regen_dot,Track Master 100,2.147000s,44,7,0.159091,35.000000,220.000000,0.159091,0,5
18,16:33:52.038,regen_dot,Track Master 100,1.399000s,29,7,0.241379,35.000000,145.000000,0.241379,0,5
19,16:33:55.642,regen_dot,Track Master 100,3.302000s,67,7,0.104478,35.000000,335.000000,0.104478,0,5
20,16:33:56.736,regen_dot,Track Master 100,0.799000s,17,7,0.411765,35.000000,85.000000,0.411765,0,5
21,16:33:58.837,regen_dot,Track Master 100,1.801000s,37,7,0.189189,35.000000,185.000000,0.189189,0,5
22,16:34:00.388,regen_dot,Track Master 100,1.252000s,26,7,0.269231,35.000000,130.000000,0.269231,0,5
23,16:34:01.988,regen_dot,Track Master 100,1.301000s,27,7,0.259259,35.000000,135.000000,0.259259,0,5
24,16:34:03.339,regen_dot,Track Master 100,1.048000s,22,7,0.318182,35.000000,110.000000,0.318182,0,5
25,16:34:06.538,regen_dot,Track Master 100,2.900000s,59,7,0.118644,35.000000,295.000000,0.118644,0,5
26,16:34:07.886,regen_dot,Track Master 100,1.047000s,22,8,0.363636,40.000000,110.000000,0.363636,0,5
27,16:34:09.386,regen_dot,Track Master 100,1.199000s,25,6,0.240000,30.000000,125.000000,0.240000,0,5
28,16:34:11.937,regen_dot,Track Master 100,2.250000s,46,7,0.152174,35.000000,230.000000,0.152174,0,5
29,16:34:12.887,regen_dot,Track Master 100,0.647000s,14,7,0.500000,35.000000,70.000000,0.500000,0,5
30,16:34:14.638,regen_dot,Track Master 100,1.450000s,30,7,0.233333,35.000000,150.000000,0.233333,0,5
31,16:34:16.042,regen_dot,Track Master 100,1.100000s,23,7,0.304348,35.000000,115.000000,0.304348,0,5
32,16:34:17.085,regen_dot,Track Master 100,0.897000s,19,7,0.368421,35.000000,95.000000,0.368421,0,2

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,1044,224,1120.0,5220.0,

Kills:,32
Deaths:,0
Fight Time:,50.561001
Time Remaining:,0.0
Avg TTK:,1.874989
Damage Done:,1120.0
Total Overshots:,157
Damage Taken:,0.0
Hit Count:,224
Miss Count:,820
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3360.0
Scenario:,Controlsphere TS
Hash:,89a9af83014f63edeebeab4066e2442e
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:33:17.099
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,228.497009
Resolution Scale:,100.0
