Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:00:14.764,Quaker Bot Mid Strafes,LG,47.827003s,4725,1200,0.253968,1200.000000,4725.000000,0.253968,0,25
2,12:01:06.143,Quaker Bot Fast Strafes,LG,51.370003s,5035,1200,0.238332,1200.000000,5035.000000,0.238332,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,9760,2400,2400.0,9760.0,

Kills:,2
Deaths:,0
Fight Time:,99.196999
Time Remaining:,0.0
Avg TTK:,49.699528
Damage Done:,2400.0
Total Overshots:,25
Damage Taken:,0.0
Hit Count:,2400
Miss Count:,7360
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,111292.445312
MBS Points:,107.107376
Score:,112.364403
Scenario:,Cycle Strafes Mid Varied Easy
Hash:,4c01b406aa106d4cff26d2c3f38179f7
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,11:59:26.678
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,253.54248
Resolution Scale:,100.0
