Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:02:01.060,Quaker Bot Mid Strafes,LG,46.721001s,4598,1200,0.260983,1200.000000,4598.000000,0.260983,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,9866,2262,2262.0,9866.0,

Kills:,1
Deaths:,0
Fight Time:,46.721001
Time Remaining:,0.0
Avg TTK:,99.999046
Damage Done:,2262.0
Total Overshots:,25
Damage Taken:,0.0
Hit Count:,2262
Miss Count:,7604
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,109431.523438
MBS Points:,133.285263
Score:,133.285263
Scenario:,Cycle Strafes Mid Varied Easy
Hash:,4c01b406aa106d4cff26d2c3f38179f7
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:01:13.884
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,252.742691
Resolution Scale:,100.0
