Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:29:51.545,fireworks_target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,22:29:52.060,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,22:29:52.448,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,22:29:52.950,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,22:29:53.269,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,22:29:53.661,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
7,22:29:54.037,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,22:29:54.381,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,22:29:54.738,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,22:29:55.125,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,22:29:55.477,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,22:29:55.848,fireworks_target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,22:29:56.214,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,22:29:56.901,fireworks_target,pistol,0.347000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
15,22:29:57.262,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,22:29:59.048,fireworks_target,pistol,1.488000s,5,1,0.200000,25.000000,250.000000,0.100000,0,0
17,22:29:59.858,fireworks_target,pistol,0.484000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
18,22:30:00.182,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,22:30:00.560,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,22:30:00.892,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,22:30:01.559,fireworks_target,pistol,0.338000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
22,22:30:01.919,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
23,22:30:02.266,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
24,22:30:02.655,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
25,22:30:03.360,fireworks_target,pistol,0.336000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
26,22:30:03.731,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
27,22:30:04.303,fireworks_target,pistol,0.311000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
28,22:30:04.713,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
29,22:30:04.975,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
30,22:30:05.297,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
31,22:30:05.622,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
32,22:30:05.994,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
33,22:30:07.103,fireworks_target,pistol,0.772000s,3,1,0.333333,25.000000,150.000000,0.166667,0,0
