Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:25:43.900,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,16:25:44.582,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,16:25:45.156,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,16:25:45.882,fireworks_target,pistol,0.328000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
5,16:25:46.692,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,16:25:47.309,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
7,16:25:47.990,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,16:25:48.334,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,16:25:48.867,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,16:25:49.388,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,16:25:49.729,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,16:25:50.115,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,16:25:50.945,fireworks_target,pistol,0.261000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
14,16:25:52.115,fireworks_target,pistol,0.686000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
15,16:25:53.041,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,16:25:53.771,fireworks_target,pistol,0.296000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
17,16:25:54.392,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,16:25:55.050,fireworks_target,pistol,0.325000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
19,16:25:55.676,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,16:25:55.956,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,16:25:56.980,fireworks_target,pistol,0.356000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
22,16:25:58.034,fireworks_target,pistol,0.319000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
23,16:25:58.848,fireworks_target,pistol,0.517000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
24,16:25:59.284,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
25,16:25:59.971,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
26,16:26:00.707,fireworks_target,pistol,0.353000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
27,16:26:01.660,fireworks_target,pistol,0.396000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
28,16:26:02.499,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
29,16:26:03.092,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
30,16:26:03.576,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
31,16:26:04.058,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
32,16:26:04.816,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
33,16:26:05.419,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
34,16:26:06.039,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
35,16:26:06.726,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
36,16:26:07.167,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
37,16:26:07.690,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
38,16:26:08.222,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
39,16:26:08.672,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
40,16:26:09.192,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
41,16:26:11.937,fireworks_target,pistol,2.261000s,6,1,0.166667,25.000000,300.000000,0.083333,0,0
42,16:26:12.386,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
43,16:26:12.902,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
44,16:26:14.096,fireworks_target,pistol,0.594000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
45,16:26:15.040,fireworks_target,pistol,0.322000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
46,16:26:15.686,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
47,16:26:16.210,fireworks_target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
48,16:26:17.126,fireworks_target,pistol,0.403000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
49,16:26:18.540,fireworks_target,pistol,0.726000s,3,1,0.333333,25.000000,150.000000,0.166667,0,0
