Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:23:21.318,TileFrenzyStrafing Cube,pistol,0.922000s,3,1,0.333333,36.000000,216.000000,0.166667,0,0
2,16:23:22.578,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
3,16:23:23.768,TileFrenzyStrafing Cube,pistol,0.339000s,2,1,0.500000,36.000000,144.000000,0.250000,0,0
4,16:23:25.388,TileFrenzyStrafing Cube,pistol,0.321000s,2,1,0.500000,36.000000,144.000000,0.250000,0,0
5,16:23:26.595,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
6,16:23:28.107,TileFrenzyStrafing Cube,pistol,0.340000s,2,1,0.500000,36.000000,144.000000,0.250000,0,0
7,16:23:28.612,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
8,16:23:29.613,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
9,16:23:30.947,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
10,16:23:31.916,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
11,16:23:32.979,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
12,16:23:34.206,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
13,16:23:35.446,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
14,16:23:36.657,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
15,16:23:37.936,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
16,16:23:40.742,TileFrenzyStrafing Cube,pistol,1.720000s,4,1,0.250000,36.000000,288.000000,0.125000,0,0
17,16:23:41.433,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
18,16:23:42.224,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
19,16:23:43.008,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
20,16:23:44.220,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
21,16:23:45.284,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
22,16:23:46.397,TileFrenzyStrafing Cube,pistol,0.000000s,1,1,1.000000,36.000000,72.000000,0.500000,0,0
