Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:24:39.923,target_decay,pistol,5.796000s,6,1,0.166667,25.000000,300.000000,0.083333,0,0
2,00:24:43.862,target_decay,pistol,2.894000s,4,1,0.250000,25.000000,200.000000,0.125000,0,0
3,00:24:45.828,target_decay,pistol,0.931000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
4,00:24:57.644,target_decay,pistol,10.831000s,12,1,0.083333,25.000000,600.000000,0.041667,0,0
5,00:25:31.145,target_decay,pistol,32.507000s,34,1,0.029412,25.000000,1700.000000,0.014706,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,60,5,125.0,3000.0,

Kills:,5
Deaths:,0
Fight Time:,52.959
Time Remaining:,0.0
Avg TTK:,11.999931
Damage Done:,125.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,5
Miss Count:,55
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,500.0
Scenario:,Fqmane - Horizontal flicks 220ms small
Hash:,f4993e30b0da2e1ce2f208ce71b017b2
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,00:24:33.748
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,323.790985
Resolution Scale:,100.0
