Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:21:22.884,test,LG,0.907000s,61,20,0.327869,1000.000000,3050.000000,0.327869,0,25
2,16:21:24.053,test,LG,0.770000s,51,20,0.392157,1000.000000,2550.000000,0.392157,0,25
3,16:21:24.836,test,LG,0.388000s,26,20,0.769231,1000.000000,1300.000000,0.769231,0,25
4,16:21:25.513,test,LG,0.341000s,23,20,0.869565,1000.000000,1150.000000,0.869565,0,20
5,16:21:26.327,test,LG,0.536000s,36,20,0.555556,1000.000000,1800.000000,0.555556,0,17
6,16:21:27.004,test,LG,0.661000s,44,20,0.454545,1000.000000,2200.000000,0.454545,0,0
7,16:21:28.206,test,LG,0.815000s,54,22,0.407407,1100.000000,2700.000000,0.407407,0,25
8,16:21:29.192,test,LG,0.584000s,39,18,0.461538,900.000000,1950.000000,0.461538,0,25
9,16:21:30.604,test,LG,1.157000s,76,20,0.263158,1000.000000,3800.000000,0.263158,0,15
10,16:21:31.279,test,LG,0.401000s,27,20,0.740741,1000.000000,1350.000000,0.740741,0,17
11,16:21:32.038,test,LG,0.371000s,25,20,0.800000,1000.000000,1250.000000,0.800000,0,25
12,16:21:32.896,test,LG,0.462000s,31,20,0.645161,1000.000000,1550.000000,0.645161,0,25
13,16:21:33.863,test,LG,0.570000s,38,20,0.526316,1000.000000,1900.000000,0.526316,0,24
14,16:21:34.869,test,LG,0.619000s,41,20,0.487805,1000.000000,2050.000000,0.487805,0,25
15,16:21:36.007,test,LG,0.739000s,49,20,0.408163,1000.000000,2450.000000,0.408163,0,25
16,16:21:36.755,test,LG,0.724000s,48,28,0.583333,1400.000000,2400.000000,0.583333,0,0
17,16:21:37.480,test,LG,0.340000s,23,12,0.521739,600.000000,1150.000000,0.521739,0,24
18,16:21:38.573,test,LG,0.800000s,53,20,0.377358,1000.000000,2650.000000,0.377358,0,18
19,16:21:39.361,test,LG,0.401000s,27,20,0.740741,1000.000000,1350.000000,0.740741,0,25
20,16:21:40.910,test,LG,1.260000s,83,33,0.397590,1650.000000,4150.000000,0.397590,0,17
21,16:21:41.959,test,LG,0.663000s,44,7,0.159091,350.000000,2200.000000,0.159091,0,25
22,16:21:42.726,test,LG,0.434000s,29,20,0.689655,1000.000000,1450.000000,0.689655,0,20
23,16:21:44.097,test,LG,1.124000s,74,27,0.364865,1350.000000,3700.000000,0.364865,0,15
24,16:21:45.035,test,LG,0.568000s,38,13,0.342105,650.000000,1900.000000,0.342105,0,23
25,16:21:45.651,test,LG,0.291000s,20,20,1.000000,1000.000000,1000.000000,1.000000,0,20
26,16:21:46.248,test,LG,0.291000s,20,20,1.000000,1000.000000,1000.000000,1.000000,0,19
27,16:21:47.312,test,LG,0.818000s,54,20,0.370370,1000.000000,2700.000000,0.370370,0,15
28,16:21:48.302,test,LG,0.600000s,40,20,0.500000,1000.000000,2000.000000,0.500000,0,25
29,16:21:48.894,test,LG,0.339000s,23,20,0.869565,1000.000000,1150.000000,0.869565,0,15
30,16:21:49.540,test,LG,0.631000s,42,20,0.476190,1000.000000,2100.000000,0.476190,0,0
31,16:21:50.464,test,LG,0.664000s,44,20,0.454545,1000.000000,2200.000000,0.454545,0,16
32,16:21:51.312,test,LG,0.571000s,38,23,0.605263,1150.000000,1900.000000,0.605263,0,17
33,16:21:52.340,test,LG,0.646000s,43,17,0.395349,850.000000,2150.000000,0.395349,0,24
34,16:21:53.063,test,LG,0.371000s,25,20,0.800000,1000.000000,1250.000000,0.800000,0,22
35,16:21:53.647,test,LG,0.293000s,20,20,1.000000,1000.000000,1000.000000,1.000000,0,18
36,16:21:54.834,test,LG,0.892000s,59,20,0.338983,1000.000000,2950.000000,0.338983,0,18
37,16:21:55.559,test,LG,0.430000s,29,20,0.689655,1000.000000,1450.000000,0.689655,0,18
38,16:21:56.280,test,LG,0.337000s,23,20,0.869565,1000.000000,1150.000000,0.869565,0,24
39,16:21:57.448,test,LG,0.892000s,59,21,0.355932,1050.000000,2950.000000,0.355932,0,17
40,16:21:58.189,test,LG,0.445000s,30,19,0.633333,950.000000,1500.000000,0.633333,0,18
41,16:21:59.650,test,LG,1.091000s,72,20,0.277778,1000.000000,3600.000000,0.277778,0,23
42,16:22:00.202,test,LG,0.291000s,20,20,1.000000,1000.000000,1000.000000,1.000000,0,16
43,16:22:01.021,test,LG,0.431000s,29,20,0.689655,1000.000000,1450.000000,0.689655,0,25
44,16:22:01.990,test,LG,0.601000s,40,20,0.500000,1000.000000,2000.000000,0.500000,0,22
45,16:22:03.113,test,LG,0.736000s,49,20,0.408163,1000.000000,2450.000000,0.408163,0,25
46,16:22:04.096,test,LG,0.582000s,39,20,0.512821,1000.000000,1950.000000,0.512821,0,25
47,16:22:05.114,test,LG,0.615000s,41,20,0.487805,1000.000000,2050.000000,0.487805,0,25
48,16:22:06.266,test,LG,0.829000s,55,20,0.363636,1000.000000,2750.000000,0.363636,0,19
49,16:22:06.880,test,LG,0.291000s,20,20,1.000000,1000.000000,1000.000000,1.000000,0,20
50,16:22:08.310,test,LG,1.109000s,73,20,0.273973,1000.000000,3650.000000,0.273973,0,20
51,16:22:09.175,test,LG,0.478000s,32,20,0.625000,1000.000000,1600.000000,0.625000,0,25
52,16:22:10.206,test,LG,0.633000s,42,20,0.476190,1000.000000,2100.000000,0.476190,0,25
53,16:22:11.002,test,LG,0.510000s,34,20,0.588235,1000.000000,1700.000000,0.588235,0,17
54,16:22:11.928,test,LG,0.631000s,42,20,0.476190,1000.000000,2100.000000,0.476190,0,18
55,16:22:12.927,test,LG,0.723000s,48,20,0.416667,1000.000000,2400.000000,0.416667,0,17
56,16:22:13.697,test,LG,0.493000s,33,21,0.636364,1050.000000,1650.000000,0.636364,0,17
57,16:22:14.356,test,LG,0.273000s,19,19,1.000000,950.000000,950.000000,1.000000,0,24
58,16:22:15.425,test,LG,0.680000s,45,20,0.444444,1000.000000,2250.000000,0.444444,0,25
59,16:22:16.696,test,LG,0.878000s,58,20,0.344828,1000.000000,2900.000000,0.344828,0,24
60,16:22:17.296,test,LG,0.293000s,20,20,1.000000,1000.000000,1000.000000,1.000000,0,19
61,16:22:17.977,test,LG,0.292000s,20,20,1.000000,1000.000000,1000.000000,1.000000,0,25
62,16:22:18.993,test,LG,0.616000s,41,20,0.487805,1000.000000,2050.000000,0.487805,0,25
63,16:22:19.805,test,LG,0.538000s,36,20,0.555556,1000.000000,1800.000000,0.555556,0,16
64,16:22:20.587,test,LG,0.459000s,31,20,0.645161,1000.000000,1550.000000,0.645161,0,20
65,16:22:21.451,test,LG,0.539000s,36,20,0.555556,1000.000000,1800.000000,0.555556,0,20

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,2593,1305,65250.0,129650.0,

Kills:,65
Deaths:,0
Fight Time:,38.757999
Time Remaining:,0.0
Avg TTK:,1.420122
Damage Done:,65250.0
Total Overshots:,1308
Damage Taken:,0.0
Hit Count:,1305
Miss Count:,1288
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,65.25
Scenario:,FuglaaXYZ TS
Hash:,aa5879b1e692fe1b1558e839b9abde29
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:21:21.582
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,377.658295
Resolution Scale:,100.0
