Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:08:23.338,air1_mixed_short_dash,LG,35.418003s,3544,1200,0.338600,1200.000000,3544.000000,0.338600,0,25
2,17:08:52.308,air_close_short,LG,28.710001s,2872,1200,0.417827,1200.000000,2872.000000,0.417827,0,25
3,17:09:23.798,air1_far_short,LG,31.233002s,3079,1200,0.389737,1200.000000,3079.000000,0.389737,0,25
4,17:10:06.818,air1F_close_short,LG,42.760002s,4277,1200,0.280571,1200.000000,4277.000000,0.280571,0,25
5,17:10:45.043,air1F_far_short,LG,38.214001s,3783,1200,0.317209,1200.000000,3783.000000,0.317209,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,17555,6000,6000.0,17555.0,

Kills:,5
Deaths:,0
Fight Time:,176.335007
Time Remaining:,0.0
Avg TTK:,35.460323
Damage Done:,6000.0
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,6000
Miss Count:,11555
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,822.617004
Scenario:,Ground Plaza Voltaic Easy
Hash:,37f76fdaf6386692f35e76a90b4a5121
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:07:47.661
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,242.790527
Resolution Scale:,100.0
