Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:19:16.926,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
2,21:19:17.993,Quaker Bot Long Strafes,pistol,0.320000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
3,21:19:19.650,Quaker Bot Long Strafes,pistol,1.164000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
4,21:19:20.513,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
5,21:19:21.588,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
6,21:19:22.175,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
7,21:19:23.638,Quaker Bot Long Strafes,pistol,0.874000s,3,1,0.333333,100.000000,600.000000,0.166667,0,0
8,21:19:24.551,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
9,21:19:25.341,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
10,21:19:25.986,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
11,21:19:26.671,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
12,21:19:27.256,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
13,21:19:28.142,Quaker Bot Long Strafes,pistol,0.314000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
14,21:19:28.834,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
15,21:19:29.790,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
16,21:19:31.042,Quaker Bot Long Strafes,pistol,0.813000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
17,21:19:31.825,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
18,21:19:33.078,Quaker Bot Long Strafes,pistol,0.579000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
19,21:19:33.685,Quaker Bot Long Strafes,pistol,0.001000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
20,21:19:34.407,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
21,21:19:34.889,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
22,21:19:35.531,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
23,21:19:36.076,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
24,21:19:36.732,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
25,21:19:37.625,Quaker Bot Long Strafes,pistol,0.314000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
26,21:19:38.529,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
27,21:19:39.815,Quaker Bot Long Strafes,pistol,0.778000s,3,1,0.333333,100.000000,600.000000,0.166667,0,0
28,21:19:41.015,Quaker Bot Long Strafes,pistol,0.286000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
29,21:19:41.916,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
30,21:19:42.448,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
31,21:19:42.869,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
32,21:19:43.535,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
33,21:19:43.961,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
34,21:19:44.654,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
35,21:19:45.084,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
36,21:19:45.729,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
37,21:19:46.902,Quaker Bot Long Strafes,pistol,0.715000s,3,1,0.333333,100.000000,600.000000,0.166667,0,0
38,21:19:47.677,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
39,21:19:49.060,Quaker Bot Long Strafes,pistol,0.884000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
40,21:19:49.692,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
41,21:19:50.593,Quaker Bot Long Strafes,pistol,0.309000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
42,21:19:51.175,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
43,21:19:52.076,Quaker Bot Long Strafes,pistol,0.269000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
44,21:19:52.696,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
45,21:19:53.388,Quaker Bot Long Strafes,pistol,0.001000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
46,21:19:54.561,Quaker Bot Long Strafes,pistol,0.701000s,3,1,0.333333,100.000000,600.000000,0.166667,0,0
47,21:19:55.223,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
48,21:19:55.653,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
49,21:19:56.827,Quaker Bot Long Strafes,pistol,0.507000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
50,21:19:57.442,Quaker Bot Long Strafes,pistol,0.001000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
