Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track_fullsound,6001,1582,1582.0,6001.0,
track_earlove,0,0,0.0,0.0,
track_earlove2,0,0,0.0,0.0,

Kills:,0
Deaths:,0
Fight Time:,0.0
Time Remaining:,0.0
Avg TTK:,0.0
Damage Done:,1582.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,1582
Miss Count:,4419
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1582.0
Scenario:,LDDH Fixed Easier
Hash:,94a3415334eec12c3b228796b3c25b70
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:57:53.835
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,253.592545
Resolution Scale:,100.0
