Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:41:11.697,Daanbot3,pistol,2.506000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
2,14:41:13.091,Daanbot1,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,14:41:14.824,Daanbot2,pistol,1.132000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
4,14:41:15.914,Daanbot2,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
5,14:41:16.999,Daanbot2,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,14:41:19.442,Daanbot1,pistol,1.445000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
7,14:41:20.940,Daanbot2,pistol,0.968000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
8,14:41:21.944,Daanbot1,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
9,14:41:24.434,Daanbot3,pistol,1.864000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
10,14:41:25.665,Daanbot3,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,14:41:31.895,Daanbot1,pistol,5.632000s,7,1,0.142857,50.000000,875.000000,0.057143,0,0
12,14:41:37.535,Daanbot1,pistol,4.172000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
13,14:41:42.415,Daanbot3,pistol,3.893000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
14,14:41:46.671,Daanbot2,pistol,3.327000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
15,14:41:47.987,Daanbot3,pistol,0.685000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
16,14:41:50.018,Daanbot1,pistol,1.016000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
17,14:41:56.052,Daanbot2,pistol,5.611000s,8,1,0.125000,50.000000,1000.000000,0.050000,0,0
18,14:41:56.830,Daanbot3,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
19,14:42:03.581,Daanbot3,pistol,4.727000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
20,14:42:05.013,Daanbot1,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,63,20,1000.0,7875.0,

Kills:,20
Deaths:,0
Fight Time:,36.978001
Time Remaining:,0.0
Avg TTK:,3.529388
Damage Done:,1000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,20
Miss Count:,43
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
MBS Points:,0.0
Score:,20.0
Scenario:,Leapcorn Pure
Hash:,862be4000b26476d18661da250a0c939
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:41:07.983
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,219.36528
Resolution Scale:,100.0
