Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:29:47.833,test360,pistol,0.000000s,1,1,1.000000,1000.000000,2500.000000,0.400000,0,0
2,18:29:49.562,test360,pistol,0.000000s,1,1,1.000000,1000.000000,2500.000000,0.400000,0,0
3,18:29:50.797,test360,pistol,0.000000s,1,1,1.000000,1000.000000,2500.000000,0.400000,0,0
4,18:29:52.784,test360,pistol,0.925000s,2,1,0.500000,1000.000000,5000.000000,0.200000,0,0
5,18:29:55.111,test360,pistol,0.598000s,2,1,0.500000,1000.000000,5000.000000,0.200000,0,0
6,18:29:56.814,test360,pistol,0.000000s,1,1,1.000000,1000.000000,2500.000000,0.400000,0,0
7,18:29:57.635,test360,pistol,0.000000s,1,1,1.000000,1000.000000,2500.000000,0.400000,0,0
8,18:30:00.962,test360,pistol,1.269000s,2,1,0.500000,1000.000000,5000.000000,0.200000,0,0
9,18:30:06.525,test360,pistol,4.602000s,4,1,0.250000,1000.000000,10000.000000,0.100000,0,0
10,18:30:10.782,test360,pistol,1.900000s,3,1,0.333333,1000.000000,7500.000000,0.133333,0,0
11,18:30:12.613,test360,pistol,0.443000s,2,1,0.500000,1000.000000,5000.000000,0.200000,0,0
12,18:30:37.461,test360,pistol,22.174002s,17,1,0.058824,1000.000000,42500.000000,0.023529,0,0
13,18:30:38.464,test360,pistol,0.000000s,1,1,1.000000,1000.000000,2500.000000,0.400000,0,0
14,18:30:39.442,test360,pistol,0.000000s,1,1,1.000000,1000.000000,2500.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,44,14,14000.0,110000.0,

Kills:,14
Deaths:,0
Fight Time:,31.910999
Time Remaining:,0.0
Avg TTK:,4.28569
Damage Done:,14000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,14
Miss Count:,30
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,4
Distance Traveled:,53097.75
MBS Points:,0.0
Score:,95097.75
Scenario:,Pasu Dodge
Hash:,c7d02fdfd026c163dfab5484ffbfda9f
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,18:29:46.848
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,166.703674
Resolution Scale:,100.0
