Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:08:27.673,test,B180T LG,2.362000s,40,15,0.375000,1.200000,3.199999,0.375000,0,4
2,17:08:28.719,test,B180T LG,0.797000s,14,11,0.785714,0.880000,1.120000,0.785714,0,3
3,17:08:30.374,test,B180T LG,1.407000s,24,13,0.541667,1.040000,1.920000,0.541667,0,3
4,17:08:33.039,test,B180T LG,2.329000s,39,14,0.358974,1.120000,3.119999,0.358974,0,5
5,17:08:35.123,test,B180T LG,1.718000s,29,13,0.448276,1.040000,2.320000,0.448276,0,5
6,17:08:37.213,test,B180T LG,1.716000s,29,12,0.413793,0.960000,2.320000,0.413793,0,5
7,17:08:38.989,test,B180T LG,1.411000s,24,13,0.541667,1.040000,1.920000,0.541667,0,5
8,17:08:41.070,test,B180T LG,1.716000s,29,13,0.448276,1.040000,2.320000,0.448276,0,5
9,17:08:44.326,test,B180T LG,2.887000s,48,13,0.270833,1.040000,3.839998,0.270833,0,5
10,17:08:46.045,test,B180T LG,1.350000s,23,13,0.565217,1.040000,1.840000,0.565217,0,5
11,17:08:47.761,test,B180T LG,1.349000s,23,13,0.565217,1.040000,1.840000,0.565217,0,5
12,17:08:49.476,test,B180T LG,1.351000s,23,13,0.565217,1.040000,1.840000,0.565217,0,5
13,17:08:51.871,test,B180T LG,2.023000s,34,13,0.382353,1.040000,2.720000,0.382353,0,5
14,17:08:53.709,test,B180T LG,1.470000s,25,13,0.520000,1.040000,2.000000,0.520000,0,5
15,17:08:54.844,test,B180T LG,0.797000s,14,13,0.928571,1.040000,1.120000,0.928571,0,4
16,17:08:56.590,test,B180T LG,1.410000s,24,18,0.750000,1.440000,1.920000,0.750000,0,5
17,17:08:57.573,test,B180T LG,0.611000s,11,8,0.727273,0.640000,0.880000,0.727273,0,5
18,17:08:59.353,test,B180T LG,1.414000s,24,13,0.541667,1.040000,1.920000,0.541667,0,5
19,17:09:01.870,test,B180T LG,2.150000s,36,13,0.361111,1.040000,2.879999,0.361111,0,5
20,17:09:03.828,test,B180T LG,1.592000s,27,13,0.481481,1.040000,2.160000,0.481481,0,5
21,17:09:06.591,test,B180T LG,2.396000s,40,13,0.325000,1.040000,3.199999,0.325000,0,5
22,17:09:08.428,test,B180T LG,1.470000s,25,13,0.520000,1.040000,2.000000,0.520000,0,5
23,17:09:09.657,test,B180T LG,0.856000s,15,13,0.866667,1.040000,1.200000,0.866667,0,5
24,17:09:12.663,test,B180T LG,2.638000s,44,13,0.295455,1.040000,3.519999,0.295455,0,5
25,17:09:15.420,test,B180T LG,2.391000s,40,14,0.350000,1.120000,3.199999,0.350000,0,5
26,17:09:16.651,test,B180T LG,0.861000s,15,12,0.800000,0.960000,1.200000,0.800000,0,5
27,17:09:20.022,test,B180T LG,3.007000s,50,13,0.260000,1.040000,3.999998,0.260000,0,5
28,17:09:22.385,test,B180T LG,2.085000s,35,13,0.371429,1.040000,2.799999,0.371429,0,3

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,847,376,30.079975,67.760788,

Kills:,28
Deaths:,0
Fight Time:,47.563999
Time Remaining:,0.0
Avg TTK:,2.857159
Damage Done:,30.079975
Total Overshots:,132
Damage Taken:,0.0
Hit Count:,376
Miss Count:,471
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,30.079975
Scenario:,Pasu TS 3D Easy
Hash:,fe50b184d5641da56a3ede6a18b4b178
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:08:24.994
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,292.879761
Resolution Scale:,100.0
