Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:09:34.856,test,B180T LG,1.441000s,25,13,0.520000,1.040000,2.000000,0.520000,0,5
2,17:09:36.754,test,B180T LG,1.530000s,26,13,0.500000,1.040000,2.080000,0.500000,0,5
3,17:09:38.966,test,B180T LG,1.842000s,31,13,0.419355,1.040000,2.480000,0.419355,0,5
4,17:09:41.050,test,B180T LG,1.719000s,29,13,0.448276,1.040000,2.320000,0.448276,0,5
5,17:09:42.459,test,B180T LG,1.041000s,18,13,0.722222,1.040000,1.440000,0.722222,0,5
6,17:09:43.872,test,B180T LG,1.045000s,18,13,0.722222,1.040000,1.440000,0.722222,0,5
7,17:09:46.324,test,B180T LG,2.086000s,35,13,0.371429,1.040000,2.799999,0.371429,0,5
8,17:09:48.715,test,B180T LG,2.025000s,34,13,0.382353,1.040000,2.720000,0.382353,0,5
9,17:09:50.435,test,B180T LG,1.352000s,23,13,0.565217,1.040000,1.840000,0.565217,0,5
10,17:09:52.919,test,B180T LG,2.145000s,36,14,0.388889,1.120000,2.879999,0.388889,0,4
11,17:09:55.862,test,B180T LG,2.639000s,44,14,0.318182,1.120000,3.519999,0.318182,0,4
12,17:09:57.855,test,B180T LG,1.658000s,28,12,0.428571,0.960000,2.240000,0.428571,0,5
13,17:09:59.238,test,B180T LG,1.041000s,18,13,0.722222,1.040000,1.440000,0.722222,0,4
14,17:10:00.678,test,B180T LG,1.105000s,19,12,0.631579,0.960000,1.520000,0.631579,0,5
15,17:10:02.273,test,B180T LG,1.225000s,21,13,0.619048,1.040000,1.680000,0.619047,0,5
16,17:10:04.539,test,B180T LG,1.900000s,32,13,0.406250,1.040000,2.560000,0.406250,0,5
17,17:10:07.117,test,B180T LG,2.212000s,37,15,0.405405,1.200000,2.959999,0.405405,0,5
18,17:10:08.832,test,B180T LG,1.349000s,23,11,0.478261,0.880000,1.840000,0.478261,0,5
19,17:10:10.797,test,B180T LG,1.599000s,27,13,0.481481,1.040000,2.160000,0.481481,0,5
20,17:10:12.881,test,B180T LG,1.717000s,29,13,0.448276,1.040000,2.320000,0.448276,0,5
21,17:10:15.396,test,B180T LG,2.149000s,36,15,0.416667,1.200000,2.879999,0.416667,0,5
22,17:10:17.114,test,B180T LG,1.352000s,23,12,0.521739,0.960000,1.840000,0.521739,0,5
23,17:10:19.319,test,B180T LG,1.839000s,31,12,0.387097,0.960000,2.480000,0.387097,0,5
24,17:10:21.409,test,B180T LG,1.719000s,29,13,0.448276,1.040000,2.320000,0.448276,0,5
25,17:10:23.493,test,B180T LG,1.716000s,29,13,0.448276,1.040000,2.320000,0.448276,0,5
26,17:10:28.396,test,B180T LG,4.538000s,75,13,0.173333,1.040000,5.999997,0.173333,0,5
27,17:10:31.463,test,B180T LG,2.696000s,45,16,0.355556,1.280000,3.599999,0.355556,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,847,363,29.039976,67.760788,

Kills:,27
Deaths:,0
Fight Time:,48.68
Time Remaining:,0.0
Avg TTK:,2.96298
Damage Done:,29.039976
Total Overshots:,132
Damage Taken:,0.0
Hit Count:,363
Miss Count:,484
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,29.039976
Scenario:,Pasu TS 3D Easy
Hash:,fe50b184d5641da56a3ede6a18b4b178
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:09:33.065
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,292.989349
Resolution Scale:,100.0
