Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:10:41.743,test,B180T LG,1.629000s,28,16,0.571429,1.280000,2.240000,0.571429,0,4
2,17:10:42.937,test,B180T LG,0.859000s,15,10,0.666667,0.800000,1.200000,0.666667,0,5
3,17:10:44.291,test,B180T LG,0.982000s,17,13,0.764706,1.040000,1.360000,0.764706,0,5
4,17:10:46.805,test,B180T LG,2.147000s,36,13,0.361111,1.040000,2.879999,0.361111,0,5
5,17:10:48.457,test,B180T LG,1.285000s,22,13,0.590909,1.040000,1.760000,0.590909,0,5
6,17:10:50.485,test,B180T LG,1.656000s,28,13,0.464286,1.040000,2.240000,0.464286,0,5
7,17:10:53.064,test,B180T LG,2.209000s,37,13,0.351351,1.040000,2.959999,0.351351,0,5
8,17:10:55.945,test,B180T LG,2.515000s,42,13,0.309524,1.040000,3.359999,0.309524,0,5
9,17:10:58.277,test,B180T LG,1.966000s,33,13,0.393939,1.040000,2.640000,0.393939,0,5
10,17:11:00.667,test,B180T LG,2.023000s,34,13,0.382353,1.040000,2.720000,0.382353,0,5
11,17:11:02.564,test,B180T LG,1.534000s,26,13,0.500000,1.040000,2.080000,0.500000,0,5
12,17:11:04.448,test,B180T LG,1.536000s,26,13,0.500000,1.040000,2.080000,0.500000,0,5
13,17:11:06.922,test,B180T LG,2.087000s,35,13,0.371429,1.040000,2.799999,0.371429,0,5
14,17:11:09.681,test,B180T LG,2.390000s,40,13,0.325000,1.040000,3.199999,0.325000,0,5
15,17:11:12.104,test,B180T LG,2.087000s,35,13,0.371429,1.040000,2.799999,0.371429,0,4
16,17:11:14.712,test,B180T LG,2.272000s,38,13,0.342105,1.040000,3.039999,0.342105,0,5
17,17:11:17.349,test,B180T LG,2.267000s,38,13,0.342105,1.040000,3.039999,0.342105,0,5
18,17:11:19.683,test,B180T LG,1.965000s,33,13,0.393939,1.040000,2.640000,0.393939,0,5
19,17:11:21.579,test,B180T LG,1.533000s,26,13,0.500000,1.040000,2.080000,0.500000,0,5
20,17:11:24.710,test,B180T LG,2.762000s,46,13,0.282609,1.040000,3.679999,0.282609,0,5
21,17:11:26.885,test,B180T LG,1.897000s,32,14,0.437500,1.120000,2.560000,0.437500,0,3
22,17:11:29.496,test,B180T LG,2.273000s,38,13,0.342105,1.040000,3.039999,0.342105,0,5
23,17:11:31.457,test,B180T LG,1.597000s,27,12,0.444444,0.960000,2.160000,0.444444,0,5
24,17:11:34.522,test,B180T LG,2.697000s,45,13,0.288889,1.040000,3.599999,0.288889,0,5
25,17:11:37.986,test,B180T LG,3.128000s,52,14,0.269231,1.120000,4.159998,0.269231,0,4

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,859,333,26.639978,68.72081,

Kills:,25
Deaths:,0
Fight Time:,49.296001
Time Remaining:,0.0
Avg TTK:,3.200019
Damage Done:,26.639978
Total Overshots:,120
Damage Taken:,0.0
Hit Count:,333
Miss Count:,526
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,26.639978
Scenario:,Pasu TS 3D Easy
Hash:,fe50b184d5641da56a3ede6a18b4b178
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:10:39.800
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,290.890289
Resolution Scale:,100.0
