Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:24:56.365,test360,pistol,4.567000s,47,5,0.106383,1000.000000,23500.000000,0.042553,0,2
2,18:25:01.567,test360,pistol,4.902000s,50,5,0.100000,1000.000000,25000.000000,0.040000,0,2
3,18:25:05.368,test360,pistol,3.502000s,36,5,0.138889,1000.000000,18000.000000,0.055556,0,2
4,18:25:13.268,test360,pistol,7.597001s,77,5,0.064935,1000.000000,38500.000000,0.025974,0,2
5,18:25:18.367,test360,pistol,4.804000s,49,5,0.102041,1000.000000,24500.000000,0.040816,0,2
6,18:25:20.069,test360,pistol,1.401000s,15,5,0.333333,1000.000000,7500.000000,0.133333,0,2
7,18:25:23.066,test360,pistol,2.700000s,28,5,0.178571,1000.000000,14000.000000,0.071429,0,2
8,18:25:29.467,test360,pistol,6.097000s,62,5,0.080645,1000.000000,31000.000000,0.032258,0,2
9,18:25:34.269,test360,pistol,4.501000s,46,6,0.130435,1200.000000,23000.000000,0.052174,0,2
10,18:25:37.069,test360,pistol,2.497000s,26,4,0.153846,800.000000,13000.000000,0.061538,0,2
11,18:25:44.169,test360,pistol,6.799000s,69,5,0.072464,1000.000000,34500.000000,0.028986,0,2

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,569,59,11800.0,284500.0,

Kills:,11
Deaths:,0
Fight Time:,49.367001
Time Remaining:,0.0
Avg TTK:,5.454514
Damage Done:,11800.0
Total Overshots:,22
Damage Taken:,0.0
Hit Count:,59
Miss Count:,510
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,75385.453125
MBS Points:,0.0
Score:,116285.453125
Scenario:,Pasu Track Dodge
Hash:,4c88820d8f6477401dc1e5eaebf90d46
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,18:24:50.607
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,169.781967
Resolution Scale:,100.0
