Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:26:11.726,test360,pistol,6.545000s,67,5,0.074627,1000.000000,33500.000000,0.029851,0,2
2,18:26:16.033,test360,pistol,3.999000s,41,5,0.121951,1000.000000,20500.000000,0.048780,0,2
3,18:26:19.329,test360,pistol,2.999000s,31,5,0.161290,1000.000000,15500.000000,0.064516,0,2
4,18:26:23.832,test360,pistol,4.199000s,43,5,0.116279,1000.000000,21500.000000,0.046512,0,2
5,18:26:30.135,test360,pistol,5.999000s,61,5,0.081967,1000.000000,30500.000000,0.032787,0,2
6,18:26:33.834,test360,pistol,3.401000s,35,6,0.171429,1200.000000,17500.000000,0.068571,0,2
7,18:26:42.229,test360,pistol,8.102000s,82,4,0.048780,800.000000,41000.000000,0.019512,0,2
8,18:26:47.533,test360,pistol,4.999000s,51,5,0.098039,1000.000000,25500.000000,0.039216,0,2
9,18:26:50.032,test360,pistol,2.204000s,23,5,0.217391,1000.000000,11500.000000,0.086957,0,2
10,18:26:54.833,test360,pistol,4.498000s,46,5,0.108696,1000.000000,23000.000000,0.043478,0,2
11,18:26:57.133,test360,pistol,2.004000s,21,5,0.238095,1000.000000,10500.000000,0.095238,0,2
12,18:27:00.529,test360,pistol,3.099000s,32,5,0.156250,1000.000000,16000.000000,0.062500,0,2

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,577,63,12600.0,288500.0,

Kills:,12
Deaths:,0
Fight Time:,52.049
Time Remaining:,0.0
Avg TTK:,4.999971
Damage Done:,12600.0
Total Overshots:,24
Damage Taken:,0.0
Hit Count:,63
Miss Count:,514
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,78655.820312
MBS Points:,0.0
Score:,122455.820312
Scenario:,Pasu Track Dodge
Hash:,4c88820d8f6477401dc1e5eaebf90d46
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,18:26:04.909
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,162.198105
Resolution Scale:,100.0
