Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:27:32.376,test360,pistol,3.343000s,35,5,0.142857,1000.000000,17500.000000,0.057143,0,2
2,18:27:34.872,test360,pistol,2.201000s,23,5,0.217391,1000.000000,11500.000000,0.086957,0,2
3,18:27:40.773,test360,pistol,5.604000s,57,6,0.105263,1200.000000,28500.000000,0.042105,0,2
4,18:27:42.876,test360,pistol,1.803000s,19,4,0.210526,800.000000,9500.000000,0.084211,0,2
5,18:27:47.168,test360,pistol,3.998000s,41,5,0.121951,1000.000000,20500.000000,0.048780,0,2
6,18:27:50.171,test360,pistol,2.699000s,28,5,0.178571,1000.000000,14000.000000,0.071429,0,2
7,18:27:56.274,test360,pistol,5.799000s,59,5,0.084746,1000.000000,29500.000000,0.033898,0,2
8,18:27:59.271,test360,pistol,2.701000s,28,5,0.178571,1000.000000,14000.000000,0.071429,0,2
9,18:28:02.572,test360,pistol,3.000000s,31,5,0.161290,1000.000000,15500.000000,0.064516,0,2
10,18:28:07.373,test360,pistol,4.500000s,46,5,0.108696,1000.000000,23000.000000,0.043478,0,2
11,18:28:08.773,test360,pistol,1.104000s,12,5,0.416667,1000.000000,6000.000000,0.166667,0,2
12,18:28:15.772,test360,pistol,6.704000s,68,5,0.073529,1000.000000,34000.000000,0.029412,0,2
13,18:28:18.076,test360,pistol,1.999000s,21,5,0.238095,1000.000000,10500.000000,0.095238,0,2
14,18:28:22.073,test360,pistol,3.701000s,38,5,0.131579,1000.000000,19000.000000,0.052632,0,2

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,573,74,14800.0,286500.0,

Kills:,14
Deaths:,0
Fight Time:,49.155998
Time Remaining:,0.0
Avg TTK:,4.28569
Damage Done:,14800.0
Total Overshots:,28
Damage Taken:,0.0
Hit Count:,74
Miss Count:,499
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,81144.320312
MBS Points:,0.0
Score:,132544.3125
Scenario:,Pasu Track Dodge
Hash:,4c88820d8f6477401dc1e5eaebf90d46
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,18:27:28.751
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,161.504868
Resolution Scale:,100.0
