Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:14:31.812,test,pistol,3.122000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
2,20:14:32.957,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,20:14:33.977,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
4,20:14:35.847,test,pistol,0.918000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
5,20:14:39.309,test,pistol,2.571000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
6,20:14:40.185,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
7,20:14:41.093,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
8,20:14:47.448,test,pistol,5.546000s,7,1,0.142857,1000.000000,14000.000000,0.071429,0,0
9,20:14:53.076,test,pistol,4.651000s,6,1,0.166667,1000.000000,12000.000000,0.083333,0,0
10,20:14:54.562,test,pistol,0.715000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
11,20:14:55.635,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
12,20:14:57.687,test,pistol,0.818000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
13,20:15:02.221,test,pistol,2.878000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
14,20:15:05.761,test,pistol,2.356000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
15,20:15:06.940,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
16,20:15:08.667,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
17,20:15:09.464,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
18,20:15:10.296,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
19,20:15:13.150,test,pistol,1.944000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
20,20:15:14.811,test,pistol,0.766000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
21,20:15:15.577,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
22,20:15:16.544,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
23,20:15:17.911,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
24,20:15:20.143,test,pistol,0.557000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
25,20:15:24.148,test,pistol,3.071000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
26,20:15:26.768,test,pistol,1.692000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,59,26,26000.0,118000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,26
Deaths:,0
Fight Time:,31.605
Time Remaining:,0.0
Avg TTK:,2.307679
Damage Done:,26000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,26
Miss Count:,33
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,17.259731
Scenario:,Pasu Voltaic Easy
Hash:,2510f8c2012a0b2794f7fd3a53c4af46
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:14:27.775
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,218.087219
Resolution Scale:,100.0
