Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,23:41:45.319,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
2,23:41:45.866,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,23:41:46.233,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
4,23:41:47.080,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
5,23:41:47.851,test,pistol,0.382000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
6,23:41:48.439,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
7,23:41:49.079,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
8,23:41:51.053,test,pistol,1.516000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
9,23:41:51.589,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
10,23:41:52.698,test,pistol,0.346000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
11,23:41:53.474,test,pistol,0.300000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
12,23:41:53.981,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
13,23:41:54.537,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
14,23:41:55.038,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
15,23:41:55.555,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
16,23:41:56.834,test,pistol,0.307000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
17,23:41:57.465,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
18,23:41:58.127,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
19,23:41:58.895,test,pistol,0.388000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
20,23:41:59.568,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
21,23:42:00.094,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
22,23:42:00.593,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
