Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:36:42.542,test,pistol,51.666004s,32,3,0.093750,3000.000000,64000.000000,0.046875,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,37,3,3000.0,74000.0,

Kills:,1
Deaths:,0
Fight Time:,51.666
Time Remaining:,0.0
Avg TTK:,59.999657
Damage Done:,3000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,3
Miss Count:,34
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,7
Distance Traveled:,0.0
MBS Points:,0.0
Score:,0.284747
Scenario:,Pasu Voltaic Small 3ShotR5
Hash:,040385160480264c57f99f1af3b88ee0
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:35:49.687
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,181.507919
Resolution Scale:,100.0
