Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:37:11.461,test,pistol,5.557000s,4,3,0.750000,3000.000000,8000.000000,0.375000,0,0
2,20:37:19.323,test,pistol,6.764000s,5,3,0.600000,3000.000000,10000.000000,0.300000,0,0
3,20:37:33.094,test,pistol,10.507001s,9,4,0.444444,4000.000000,18000.000000,0.222222,0,0
4,20:37:39.365,test,pistol,3.625000s,6,2,0.333333,2000.000000,12000.000000,0.166667,0,0
5,20:37:44.488,test,pistol,3.296000s,4,3,0.750000,3000.000000,8000.000000,0.375000,0,0
6,20:37:52.865,test,pistol,5.537000s,7,3,0.428571,3000.000000,14000.000000,0.214286,0,0
7,20:37:57.047,test,pistol,2.844000s,5,3,0.600000,3000.000000,10000.000000,0.300000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,47,23,23000.0,94000.0,

Kills:,7
Deaths:,0
Fight Time:,38.130001
Time Remaining:,0.0
Avg TTK:,8.57138
Damage Done:,23000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,23
Miss Count:,24
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,4
Distance Traveled:,0.0
MBS Points:,0.0
Score:,4.896808
Scenario:,Pasu Voltaic Small 3ShotR5
Hash:,040385160480264c57f99f1af3b88ee0
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:37:04.737
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,180.237503
Resolution Scale:,100.0
