Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:13:05.570,test,pistol,12.028001s,14,3,0.214286,3000.000000,28000.000000,0.107143,0,0
2,14:13:22.302,test,pistol,15.888000s,18,3,0.166667,3000.000000,36000.000000,0.083333,0,0
3,14:13:26.552,test,pistol,2.114000s,5,3,0.600000,3000.000000,10000.000000,0.300000,0,0
4,14:13:39.576,test,pistol,12.272000s,12,3,0.250000,3000.000000,24000.000000,0.125000,0,0
5,14:13:44.511,test,pistol,3.497000s,6,3,0.500000,3000.000000,12000.000000,0.250000,0,0
6,14:13:50.870,test,pistol,5.435000s,7,3,0.428571,3000.000000,14000.000000,0.214286,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,19,19000.0,128000.0,

Kills:,6
Deaths:,0
Fight Time:,51.234001
Time Remaining:,0.0
Avg TTK:,9.999943
Damage Done:,19000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,19
Miss Count:,45
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,9
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3.269174
Scenario:,Pasu Voltaic Small 3ShotR5
Hash:,040385160480264c57f99f1af3b88ee0
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:12:52.445
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,201.036774
Resolution Scale:,100.0
