Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:14:06.066,test,pistol,6.940001s,7,3,0.428571,3000.000000,14000.000000,0.214286,0,0
2,14:14:08.706,test,pistol,1.823000s,5,3,0.600000,3000.000000,10000.000000,0.300000,0,0
3,14:14:17.193,test,pistol,7.489000s,11,3,0.272727,3000.000000,22000.000000,0.136364,0,0
4,14:14:21.014,test,pistol,2.514000s,5,3,0.600000,3000.000000,10000.000000,0.300000,0,0
5,14:14:27.787,test,pistol,5.823000s,8,3,0.375000,3000.000000,16000.000000,0.187500,0,0
6,14:14:34.299,test,pistol,5.866000s,8,3,0.375000,3000.000000,16000.000000,0.187500,0,0
7,14:14:40.965,test,pistol,6.013000s,8,4,0.500000,4000.000000,16000.000000,0.250000,0,0
8,14:14:43.071,test,pistol,1.130000s,3,2,0.666667,2000.000000,6000.000000,0.333333,0,0
9,14:14:46.835,test,pistol,2.189000s,4,3,0.750000,3000.000000,8000.000000,0.375000,0,0
10,14:14:56.586,test,pistol,9.159000s,14,3,0.214286,3000.000000,28000.000000,0.107143,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,75,31,31000.0,150000.0,

Kills:,10
Deaths:,0
Fight Time:,48.945999
Time Remaining:,0.0
Avg TTK:,5.999966
Damage Done:,31000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,31
Miss Count:,44
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,8
Distance Traveled:,0.0
MBS Points:,0.0
Score:,6.429101
Scenario:,Pasu Voltaic Small 3ShotR5
Hash:,040385160480264c57f99f1af3b88ee0
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:13:58.188
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,200.642685
Resolution Scale:,100.0
