Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:45:49.910,TileFrenzy Sphere,Poke-Drill,0.633000s,69,6,0.086957,1.200000,13.799992,0.086957,0,25
2,21:45:50.587,TileFrenzy Sphere,Poke-Drill,0.417000s,43,6,0.139535,1.200000,8.599997,0.139535,0,25
3,21:45:51.134,TileFrenzy Sphere,Poke-Drill,0.283000s,29,6,0.206897,1.200000,5.799999,0.206897,0,25
4,21:45:51.889,TileFrenzy Sphere,Poke-Drill,0.497000s,51,10,0.196078,2.000000,10.199995,0.196079,0,25
5,21:45:52.700,TileFrenzy Sphere,Poke-Drill,0.549000s,56,8,0.142857,1.600000,11.199994,0.142857,0,25
6,21:45:53.088,TileFrenzy Sphere,Poke-Drill,0.126000s,14,8,0.571429,1.600000,2.800000,0.571429,0,25
7,21:45:53.892,TileFrenzy Sphere,Poke-Drill,0.542000s,55,9,0.163636,1.800000,10.999994,0.163636,0,25
8,21:45:54.591,TileFrenzy Sphere,Poke-Drill,0.442000s,45,11,0.244444,2.200000,8.999996,0.244445,0,25
9,21:45:55.391,TileFrenzy Sphere,Poke-Drill,0.536000s,55,8,0.145455,1.600000,10.999994,0.145455,0,25
10,21:45:55.892,TileFrenzy Sphere,Poke-Drill,0.238000s,25,13,0.520000,2.600000,5.000000,0.520000,0,25
11,21:45:56.487,TileFrenzy Sphere,Poke-Drill,0.340000s,35,7,0.200000,1.400000,6.999998,0.200000,0,25
12,21:45:57.092,TileFrenzy Sphere,Poke-Drill,0.342000s,35,8,0.228571,1.600000,6.999998,0.228572,0,25
13,21:45:57.693,TileFrenzy Sphere,Poke-Drill,0.341000s,35,6,0.171429,1.200000,6.999998,0.171429,0,25
14,21:45:58.332,TileFrenzy Sphere,Poke-Drill,0.380000s,39,8,0.205128,1.600000,7.799997,0.205128,0,25
15,21:45:58.910,TileFrenzy Sphere,Poke-Drill,0.322000s,33,6,0.181818,1.200000,6.599998,0.181818,0,25
16,21:45:59.513,TileFrenzy Sphere,Poke-Drill,0.338000s,35,6,0.171429,1.200000,6.999998,0.171429,0,25
17,21:46:00.889,TileFrenzy Sphere,Poke-Drill,1.121000s,113,7,0.061947,1.400000,22.600014,0.061947,0,25
18,21:46:01.619,TileFrenzy Sphere,Poke-Drill,0.468000s,48,7,0.145833,1.400000,9.599996,0.145833,0,25
19,21:46:02.490,TileFrenzy Sphere,Poke-Drill,0.608000s,62,12,0.193548,2.400000,12.399993,0.193549,0,25
20,21:46:03.111,TileFrenzy Sphere,Poke-Drill,0.359000s,37,6,0.162162,1.200000,7.399997,0.162162,0,25
21,21:46:03.910,TileFrenzy Sphere,Poke-Drill,0.538000s,55,6,0.109091,1.200000,10.999994,0.109091,0,25
