Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:08:17.207,target,Poke-Drill,1.095000s,117,11,0.094017,2.200000,23.400017,0.094017,0,25
2,21:08:18.102,target,Poke-Drill,0.640000s,65,11,0.169231,2.200000,12.999992,0.169231,0,25
3,21:08:18.926,target,Poke-Drill,0.563000s,57,6,0.105263,1.200000,11.399994,0.105263,0,25
4,21:08:19.806,target,Poke-Drill,0.617000s,63,8,0.126984,1.600000,12.599993,0.126984,0,25
5,21:08:20.607,target,Poke-Drill,0.538000s,55,11,0.200000,2.200000,10.999994,0.200000,0,25
6,21:08:21.235,target,Poke-Drill,0.371000s,38,6,0.157895,1.200000,7.599997,0.157895,0,25
7,21:08:22.006,target,Poke-Drill,0.510000s,52,7,0.134615,1.400000,10.399995,0.134615,0,25
8,21:08:22.903,target,Poke-Drill,0.636000s,65,10,0.153846,2.000000,12.999992,0.153846,0,25
9,21:08:23.605,target,Poke-Drill,0.441000s,45,7,0.155556,1.400000,8.999996,0.155556,0,25
10,21:08:24.405,target,Poke-Drill,0.539000s,55,11,0.200000,2.200000,10.999994,0.200000,0,25
11,21:08:25.305,target,Poke-Drill,0.640000s,65,10,0.153846,2.000000,12.999992,0.153846,0,25
12,21:08:26.117,target,Poke-Drill,0.551000s,56,6,0.107143,1.200000,11.199994,0.107143,0,25
13,21:08:26.743,target,Poke-Drill,0.369000s,38,6,0.157895,1.200000,7.599997,0.157895,0,25
14,21:08:27.307,target,Poke-Drill,0.301000s,31,7,0.225806,1.400000,6.199998,0.225807,0,25
15,21:08:28.135,target,Poke-Drill,0.573000s,58,6,0.103448,1.200000,11.599994,0.103448,0,25
16,21:08:28.737,target,Poke-Drill,0.342000s,35,6,0.171429,1.200000,6.999998,0.171429,0,25
17,21:08:29.604,target,Poke-Drill,0.609000s,62,9,0.145161,1.800000,12.399993,0.145161,0,25
18,21:08:30.508,target,Poke-Drill,0.640000s,65,6,0.092308,1.200000,12.999992,0.092308,0,25
19,21:08:31.244,target,Poke-Drill,0.477000s,49,6,0.122449,1.200000,9.799995,0.122449,0,25
20,21:08:32.008,target,Poke-Drill,0.502000s,51,7,0.137255,1.400000,10.199995,0.137255,0,25
21,21:08:33.106,target,Poke-Drill,0.840000s,85,11,0.129412,2.200000,16.999992,0.129412,0,25
22,21:08:33.908,target,Poke-Drill,0.539000s,55,11,0.200000,2.200000,10.999994,0.200000,0,25
23,21:08:34.607,target,Poke-Drill,0.442000s,45,10,0.222222,2.000000,8.999996,0.222222,0,25
24,21:08:35.334,target,Poke-Drill,0.471000s,48,6,0.125000,1.200000,9.599996,0.125000,0,25
25,21:08:36.205,target,Poke-Drill,0.609000s,62,10,0.161290,2.000000,12.399993,0.161290,0,25
26,21:08:37.105,target,Poke-Drill,0.637000s,65,11,0.169231,2.200000,12.999992,0.169231,0,25
27,21:08:37.805,target,Poke-Drill,0.438000s,45,7,0.155556,1.400000,8.999996,0.155556,0,25
28,21:08:38.805,target,Poke-Drill,0.737000s,75,11,0.146667,2.200000,14.999990,0.146667,0,25
29,21:08:39.506,target,Poke-Drill,0.439000s,45,10,0.222222,2.000000,8.999996,0.222222,0,25
30,21:08:40.005,target,Poke-Drill,0.235000s,25,6,0.240000,1.200000,5.000000,0.240000,0,25
31,21:08:40.706,target,Poke-Drill,0.439000s,45,7,0.155556,1.400000,8.999996,0.155556,0,25
32,21:08:41.438,target,Poke-Drill,0.469000s,48,6,0.125000,1.200000,9.599996,0.125000,0,25
33,21:08:42.237,target,Poke-Drill,0.542000s,55,6,0.109091,1.200000,10.999994,0.109091,0,25
34,21:08:43.018,target,Poke-Drill,0.523000s,53,6,0.113208,1.200000,10.599995,0.113208,0,25
35,21:08:43.909,target,Poke-Drill,0.632000s,64,7,0.109375,1.400000,12.799993,0.109375,0,25
36,21:08:44.638,target,Poke-Drill,0.467000s,48,6,0.125000,1.200000,9.599996,0.125000,0,25
37,21:08:45.317,target,Poke-Drill,0.424000s,43,6,0.139535,1.200000,8.599997,0.139535,0,25
38,21:08:46.205,target,Poke-Drill,0.631000s,64,12,0.187500,2.400000,12.799993,0.187500,0,25
39,21:08:47.047,target,Poke-Drill,0.581000s,59,6,0.101695,1.200000,11.799994,0.101695,0,25
40,21:08:47.709,target,Poke-Drill,0.403000s,41,8,0.195122,1.600000,8.199997,0.195122,0,25
41,21:08:48.304,target,Poke-Drill,0.338000s,35,9,0.257143,1.800000,6.999998,0.257143,0,25
42,21:08:49.104,target,Poke-Drill,0.542000s,55,11,0.200000,2.200000,10.999994,0.200000,0,25
43,21:08:49.808,target,Poke-Drill,0.440000s,45,6,0.133333,1.200000,8.999996,0.133333,0,25
44,21:08:50.306,target,Poke-Drill,0.242000s,25,6,0.240000,1.200000,5.000000,0.240000,0,25
45,21:08:51.006,target,Poke-Drill,0.437000s,45,9,0.200000,1.800000,8.999996,0.200000,0,25
46,21:08:51.517,target,Poke-Drill,0.253000s,26,6,0.230769,1.200000,5.199999,0.230769,0,25
47,21:08:52.314,target,Poke-Drill,0.540000s,55,6,0.109091,1.200000,10.999994,0.109091,0,25
48,21:08:53.304,target,Poke-Drill,0.728000s,74,11,0.148649,2.200000,14.799991,0.148649,0,25
49,21:08:54.113,target,Poke-Drill,0.548000s,56,6,0.107143,1.200000,11.199994,0.107143,0,25
50,21:08:54.908,target,Poke-Drill,0.530000s,54,11,0.203704,2.200000,10.799994,0.203704,0,25
51,21:08:55.503,target,Poke-Drill,0.338000s,35,7,0.200000,1.400000,6.999998,0.200000,0,25
52,21:08:56.405,target,Poke-Drill,0.640000s,65,12,0.184615,2.400000,12.999992,0.184616,0,25
53,21:08:57.304,target,Poke-Drill,0.638000s,65,12,0.184615,2.400000,12.999992,0.184616,0,25
54,21:08:58.104,target,Poke-Drill,0.538000s,55,9,0.163636,1.800000,10.999994,0.163636,0,25
55,21:08:59.008,target,Poke-Drill,0.641000s,65,12,0.184615,2.400000,12.999992,0.184616,0,25
56,21:09:00.034,target,Poke-Drill,0.769000s,78,9,0.115385,1.800000,15.599990,0.115385,0,25
57,21:09:00.906,target,Poke-Drill,0.610000s,62,10,0.161290,2.000000,12.399993,0.161290,0,25
58,21:09:01.602,target,Poke-Drill,0.437000s,45,12,0.266667,2.400000,8.999996,0.266667,0,25
59,21:09:02.506,target,Poke-Drill,0.641000s,65,12,0.184615,2.400000,12.999992,0.184616,0,25
60,21:09:03.316,target,Poke-Drill,0.549000s,56,6,0.107143,1.200000,11.199994,0.107143,0,25
61,21:09:04.145,target,Poke-Drill,0.572000s,58,6,0.103448,1.200000,11.599994,0.103448,0,25
62,21:09:04.806,target,Poke-Drill,0.399000s,41,10,0.243902,2.000000,8.199997,0.243903,0,25
63,21:09:05.746,target,Poke-Drill,0.681000s,69,6,0.086957,1.200000,13.799992,0.086957,0,25
64,21:09:06.112,target,Poke-Drill,0.106000s,12,6,0.500000,1.200000,2.400000,0.500000,0,25
65,21:09:06.809,target,Poke-Drill,0.434000s,44,13,0.295455,2.600000,8.799996,0.295455,0,25
66,21:09:07.611,target,Poke-Drill,0.540000s,55,6,0.109091,1.200000,10.999994,0.109091,0,25
67,21:09:08.605,target,Poke-Drill,0.736000s,75,11,0.146667,2.200000,14.999990,0.146667,0,25
68,21:09:09.217,target,Poke-Drill,0.349000s,36,6,0.166667,1.200000,7.199997,0.166667,0,25
69,21:09:10.008,target,Poke-Drill,0.534000s,54,6,0.111111,1.200000,10.799994,0.111111,0,25
70,21:09:10.606,target,Poke-Drill,0.340000s,35,10,0.285714,2.000000,6.999998,0.285714,0,25
71,21:09:11.318,target,Poke-Drill,0.449000s,46,6,0.130435,1.200000,9.199996,0.130435,0,25
72,21:09:12.207,target,Poke-Drill,0.632000s,64,12,0.187500,2.400000,12.799993,0.187500,0,25
73,21:09:12.912,target,Poke-Drill,0.449000s,46,7,0.152174,1.400000,9.199996,0.152174,0,25
74,21:09:13.607,target,Poke-Drill,0.435000s,44,9,0.204545,1.800000,8.799996,0.204546,0,25
75,21:09:14.213,target,Poke-Drill,0.348000s,36,6,0.166667,1.200000,7.199997,0.166667,0,25
76,21:09:14.908,target,Poke-Drill,0.432000s,44,12,0.272727,2.400000,8.799996,0.272727,0,25
77,21:09:15.704,target,Poke-Drill,0.539000s,55,9,0.163636,1.800000,10.999994,0.163636,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4076,643,128.599182,815.231323,

Kills:,77
Deaths:,0
Fight Time:,39.826
Time Remaining:,0.0
Avg TTK:,0.779216
Damage Done:,128.599182
Total Overshots:,1925
Damage Taken:,0.0
Hit Count:,643
Miss Count:,3433
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,77.0
Scenario:,Pokeball Auto ww6ts
Hash:,e59f5b50bc197f994df4197c93f1494c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,21:08:15.840
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
