Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:58:00.749,Regenerating Pokeball,Poke-Drill,0.564000s,67,10,0.149254,2.000000,13.399992,0.149254,0,25
2,21:58:01.550,Regenerating Pokeball,Poke-Drill,0.538000s,55,11,0.200000,2.200000,10.999994,0.200000,0,25
3,21:58:01.947,Regenerating Pokeball,Poke-Drill,0.137000s,15,7,0.466667,1.400000,3.000000,0.466667,0,25
4,21:58:02.669,Regenerating Pokeball,Poke-Drill,0.462000s,47,6,0.127660,1.200000,9.399996,0.127660,0,25
5,21:58:03.447,Regenerating Pokeball,Poke-Drill,0.518000s,53,13,0.245283,2.600000,10.599995,0.245283,0,25
6,21:58:04.154,Regenerating Pokeball,Poke-Drill,0.443000s,45,10,0.222222,2.000000,8.999996,0.222222,0,25
7,21:58:04.749,Regenerating Pokeball,Poke-Drill,0.340000s,35,10,0.285714,2.000000,6.999998,0.285714,0,25
8,21:58:05.261,Regenerating Pokeball,Poke-Drill,0.249000s,26,8,0.307692,1.600000,5.199999,0.307692,0,25
9,21:58:05.950,Regenerating Pokeball,Poke-Drill,0.426000s,44,9,0.204545,1.800000,8.799996,0.204546,0,25
10,21:58:06.379,Regenerating Pokeball,Poke-Drill,0.167000s,18,8,0.444444,1.600000,3.600001,0.444444,0,25
11,21:58:07.061,Regenerating Pokeball,Poke-Drill,0.419000s,43,6,0.139535,1.200000,8.599997,0.139535,0,25
12,21:58:07.647,Regenerating Pokeball,Poke-Drill,0.326000s,34,6,0.176471,1.200000,6.799998,0.176471,0,25
13,21:58:08.446,Regenerating Pokeball,Poke-Drill,0.541000s,55,10,0.181818,2.000000,10.999994,0.181818,0,24
14,21:58:09.739,Regenerating Pokeball,Poke-Drill,1.053000s,106,18,0.169811,3.600001,21.200008,0.169811,0,23
15,21:58:10.051,Regenerating Pokeball,Poke-Drill,0.049000s,6,6,1.000000,1.200000,1.200000,1.000000,0,25
16,21:58:10.648,Regenerating Pokeball,Poke-Drill,0.341000s,35,6,0.171429,1.200000,6.999998,0.171429,0,25
17,21:58:11.351,Regenerating Pokeball,Poke-Drill,0.440000s,45,9,0.200000,1.800000,8.999996,0.200000,0,25
18,21:58:12.150,Regenerating Pokeball,Poke-Drill,0.541000s,55,7,0.127273,1.400000,10.999994,0.127273,0,25
19,21:58:12.466,Regenerating Pokeball,Poke-Drill,0.060000s,7,6,0.857143,1.200000,1.400000,0.857143,0,25
20,21:58:13.350,Regenerating Pokeball,Poke-Drill,0.622000s,63,8,0.126984,1.600000,12.599993,0.126984,0,25
21,21:58:14.257,Regenerating Pokeball,Poke-Drill,0.650000s,66,8,0.121212,1.600000,13.199992,0.121212,0,25
22,21:58:14.947,Regenerating Pokeball,Poke-Drill,0.430000s,44,8,0.181818,1.600000,8.799996,0.181818,0,25
23,21:58:15.488,Regenerating Pokeball,Poke-Drill,0.280000s,29,7,0.241379,1.400000,5.799999,0.241379,0,25
24,21:58:15.991,Regenerating Pokeball,Poke-Drill,0.238000s,25,6,0.240000,1.200000,5.000000,0.240000,0,25
25,21:58:16.749,Regenerating Pokeball,Poke-Drill,0.499000s,51,9,0.176471,1.800000,10.199995,0.176471,0,25
