Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:41:41.616,Quaker Bot Long Strafes,LG,0.644000s,70,10,0.142857,100.000000,700.000000,0.142857,0,25
2,16:41:42.402,Quaker Bot Long Strafes,LG,0.517000s,53,10,0.188679,100.000000,530.000000,0.188679,0,25
3,16:41:43.021,Quaker Bot Long Strafes,LG,0.361000s,37,10,0.270270,100.000000,370.000000,0.270270,0,25
4,16:41:43.671,Quaker Bot Long Strafes,LG,0.392000s,40,11,0.275000,110.000000,400.000000,0.275000,0,25
5,16:41:44.228,Quaker Bot Long Strafes,LG,0.300000s,31,10,0.322581,100.000000,310.000000,0.322581,0,25
6,16:41:44.998,Quaker Bot Long Strafes,LG,0.509000s,52,10,0.192308,100.000000,520.000000,0.192308,0,25
7,16:41:45.418,Quaker Bot Long Strafes,LG,0.160000s,17,10,0.588235,100.000000,170.000000,0.588235,0,25
8,16:41:46.110,Quaker Bot Long Strafes,LG,0.430000s,44,12,0.272727,120.000000,440.000000,0.272727,0,25
9,16:41:47.140,Quaker Bot Long Strafes,LG,0.772000s,78,13,0.166667,130.000000,780.000000,0.166667,0,25
10,16:41:47.539,Quaker Bot Long Strafes,LG,0.142000s,15,10,0.666667,100.000000,150.000000,0.666667,0,25
11,16:41:48.181,Quaker Bot Long Strafes,LG,0.379000s,39,10,0.256410,100.000000,390.000000,0.256410,0,25
12,16:41:48.919,Quaker Bot Long Strafes,LG,0.481000s,49,10,0.204082,100.000000,490.000000,0.204082,0,25
13,16:41:49.769,Quaker Bot Long Strafes,LG,0.590000s,60,10,0.166667,100.000000,600.000000,0.166667,0,25
14,16:41:50.468,Quaker Bot Long Strafes,LG,0.441000s,45,11,0.244444,110.000000,450.000000,0.244444,0,25
15,16:41:50.870,Quaker Bot Long Strafes,LG,0.139000s,15,10,0.666667,100.000000,150.000000,0.666667,0,25
16,16:41:51.679,Quaker Bot Long Strafes,LG,0.553000s,56,10,0.178571,100.000000,560.000000,0.178571,0,25
17,16:41:52.579,Quaker Bot Long Strafes,LG,0.640000s,65,10,0.153846,100.000000,650.000000,0.153846,0,25
18,16:41:53.048,Quaker Bot Long Strafes,LG,0.208000s,22,10,0.454545,100.000000,220.000000,0.454545,0,25
19,16:41:53.410,Quaker Bot Long Strafes,LG,0.101000s,11,10,0.909091,100.000000,110.000000,0.909091,0,25
20,16:41:54.122,Quaker Bot Long Strafes,LG,0.453000s,46,10,0.217391,100.000000,460.000000,0.217391,0,25
21,16:41:54.881,Quaker Bot Long Strafes,LG,0.500000s,51,11,0.215686,110.000000,510.000000,0.215686,0,25
22,16:41:55.590,Quaker Bot Long Strafes,LG,0.449000s,46,10,0.217391,100.000000,460.000000,0.217391,0,25
23,16:41:56.628,Quaker Bot Long Strafes,LG,0.778000s,79,18,0.227848,180.000000,790.000000,0.227848,0,25
24,16:41:57.319,Quaker Bot Long Strafes,LG,0.429000s,44,10,0.227273,100.000000,440.000000,0.227273,0,25
25,16:41:57.858,Quaker Bot Long Strafes,LG,0.277000s,29,11,0.379310,110.000000,290.000000,0.379310,0,25
26,16:41:58.808,Quaker Bot Long Strafes,LG,0.688000s,70,10,0.142857,100.000000,700.000000,0.142857,0,25
27,16:41:59.670,Quaker Bot Long Strafes,LG,0.602000s,61,10,0.163934,100.000000,610.000000,0.163934,0,25
28,16:42:00.229,Quaker Bot Long Strafes,LG,0.303000s,31,10,0.322581,100.000000,310.000000,0.322581,0,25
29,16:42:00.948,Quaker Bot Long Strafes,LG,0.460000s,47,10,0.212766,100.000000,470.000000,0.212766,0,25
30,16:42:01.418,Quaker Bot Long Strafes,LG,0.209000s,22,10,0.454545,100.000000,220.000000,0.454545,0,25
31,16:42:01.991,Quaker Bot Long Strafes,LG,0.311000s,32,10,0.312500,100.000000,320.000000,0.312500,0,25
32,16:42:03.449,Quaker Bot Long Strafes,LG,1.200000s,121,10,0.082645,100.000000,1210.000000,0.082645,0,25
33,16:42:04.247,Quaker Bot Long Strafes,LG,0.540000s,55,10,0.181818,100.000000,550.000000,0.181818,0,25
34,16:42:04.858,Quaker Bot Long Strafes,LG,0.351000s,36,10,0.277778,100.000000,360.000000,0.277778,0,25
35,16:42:05.445,Quaker Bot Long Strafes,LG,0.328000s,34,10,0.294118,100.000000,340.000000,0.294118,0,25
36,16:42:06.188,Quaker Bot Long Strafes,LG,0.480000s,49,11,0.224490,110.000000,490.000000,0.224490,0,25
37,16:42:07.039,Quaker Bot Long Strafes,LG,0.589000s,60,10,0.166667,100.000000,600.000000,0.166667,0,25
38,16:42:07.872,Quaker Bot Long Strafes,LG,0.570000s,58,10,0.172414,100.000000,580.000000,0.172414,0,25
39,16:42:08.859,Quaker Bot Long Strafes,LG,0.730000s,74,10,0.135135,100.000000,740.000000,0.135135,0,25
40,16:42:09.519,Quaker Bot Long Strafes,LG,0.399000s,41,10,0.243902,100.000000,410.000000,0.243902,0,25
41,16:42:10.116,Quaker Bot Long Strafes,LG,0.336000s,35,10,0.285714,100.000000,350.000000,0.285714,0,25
42,16:42:10.828,Quaker Bot Long Strafes,LG,0.447000s,46,10,0.217391,100.000000,460.000000,0.217391,0,25
43,16:42:11.699,Quaker Bot Long Strafes,LG,0.610000s,62,10,0.161290,100.000000,620.000000,0.161290,0,25
44,16:42:12.147,Quaker Bot Long Strafes,LG,0.187000s,20,10,0.500000,100.000000,200.000000,0.500000,0,25
45,16:42:12.519,Quaker Bot Long Strafes,LG,0.109000s,12,10,0.833333,100.000000,120.000000,0.833333,0,25
46,16:42:13.048,Quaker Bot Long Strafes,LG,0.267000s,28,10,0.357143,100.000000,280.000000,0.357143,0,25
47,16:42:13.857,Quaker Bot Long Strafes,LG,0.548000s,56,12,0.214286,120.000000,560.000000,0.214286,0,25
48,16:42:14.772,Quaker Bot Long Strafes,LG,0.653000s,66,10,0.151515,100.000000,660.000000,0.151515,0,25
