Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:59:43.299,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,20:59:43.593,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,20:59:44.298,target,semi-auto hitscan,0.362000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
4,20:59:44.548,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,20:59:44.876,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,20:59:45.291,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,20:59:45.679,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,20:59:45.961,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,20:59:46.306,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,20:59:46.629,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,20:59:46.924,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,20:59:47.164,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,20:59:47.463,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,20:59:47.724,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,20:59:48.036,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,20:59:48.326,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,20:59:48.607,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,20:59:48.897,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,20:59:49.182,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,20:59:49.485,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,20:59:50.148,target,semi-auto hitscan,0.400000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
22,20:59:50.419,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,20:59:51.024,target,semi-auto hitscan,0.266000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
24,20:59:51.365,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,20:59:52.153,target,semi-auto hitscan,0.493000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
26,20:59:52.436,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,20:59:52.712,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,20:59:53.008,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,20:59:53.322,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,20:59:53.617,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,20:59:53.893,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,20:59:54.222,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,20:59:54.486,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
34,20:59:54.831,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
35,20:59:55.415,target,semi-auto hitscan,0.312000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
36,20:59:55.713,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
37,20:59:56.345,target,semi-auto hitscan,0.324000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
38,20:59:56.698,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
39,20:59:56.979,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
40,20:59:57.971,target,semi-auto hitscan,0.661000s,3,1,0.333333,1.000000,3.000000,0.333333,0,0
41,20:59:58.905,target,semi-auto hitscan,0.658000s,3,1,0.333333,1.000000,3.000000,0.333333,0,0
42,20:59:59.181,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
43,20:59:59.473,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
44,21:00:00.126,target,semi-auto hitscan,0.380000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
45,21:00:00.423,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
46,21:00:00.708,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
47,21:00:01.268,target,semi-auto hitscan,0.268000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
48,21:00:01.663,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
49,21:00:02.048,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
50,21:00:02.314,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
51,21:00:02.586,target,semi-auto hitscan,0.002000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
