Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:27:49.279,RS Target BL,pistol,0.890000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
3,16:27:52.581,RS Target T,pistol,1.771000s,3,2,0.666667,60.000000,180.000000,0.333333,0,0
5,16:27:54.480,RS Target BL,pistol,0.875000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
6,16:27:56.384,RS Target BL,pistol,1.800000s,3,1,0.333333,30.000000,180.000000,0.166667,0,0
7,16:27:57.987,RS Target BL,pistol,0.894000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
8,16:27:58.786,RS Target T,pistol,0.035000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
10,16:28:00.591,RS Target R,pistol,0.870000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
11,16:28:01.490,RS Target BL,pistol,0.849000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
12,16:28:02.295,RS Target R,pistol,0.051000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
14,16:28:04.196,RS Target T,pistol,0.841000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
16,16:28:06.601,RS Target T,pistol,1.563000s,3,2,0.666667,60.000000,180.000000,0.333333,0,0
18,16:28:09.166,RS Target BL,pistol,1.430000s,3,2,0.666667,60.000000,180.000000,0.333333,0,0
19,16:28:10.619,RS Target L,pistol,0.688000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
20,16:28:12.400,RS Target TR,pistol,0.906000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
21,16:28:13.767,RS Target L,pistol,0.688000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
22,16:28:14.949,RS Target L,pistol,0.667000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
23,16:28:16.770,RS Target TR,pistol,0.872000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
24,16:28:18.569,RS Target R,pistol,1.221000s,3,1,0.333333,30.000000,180.000000,0.166667,0,0
25,16:28:20.355,RS Target TL,pistol,0.822000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
26,16:28:21.878,RS Target L,pistol,0.884000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
27,16:28:23.428,RS Target TR,pistol,0.663000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
28,16:28:25.083,RS Target TL,pistol,0.874000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
29,16:28:26.733,RS Target BL,pistol,0.895000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
30,16:28:27.802,RS Target BR,pistol,0.581000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
31,16:28:29.571,RS Target TL,pistol,0.859000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
32,16:28:30.697,RS Target L,pistol,0.511000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
33,16:28:32.566,RS Target BR,pistol,0.958000s,3,2,0.666667,60.000000,180.000000,0.333333,0,0
34,16:28:34.137,RS Target TL,pistol,0.834000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
35,16:28:35.570,RS Target BL,pistol,1.353000s,3,1,0.333333,30.000000,180.000000,0.166667,0,0
36,16:28:37.300,RS Target TL,pistol,0.819000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
37,16:28:38.775,RS Target TR,pistol,0.851000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
38,16:28:40.243,RS Target BL,pistol,0.832000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
39,16:28:41.605,RS Target BL,pistol,0.869000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
40,16:28:43.748,RS Target B,pistol,1.569000s,3,1,0.333333,30.000000,180.000000,0.166667,0,0
41,16:28:45.308,RS Target L,pistol,0.837000s,3,1,0.333333,30.000000,180.000000,0.166667,0,0
42,16:28:47.054,RS Target TL,pistol,0.831000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,78,50,1500.0,4680.0,

Kills:,42
Deaths:,0
Fight Time:,42.506001
Time Remaining:,0.0
Avg TTK:,1.428563
Damage Done:,1500.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,50
Miss Count:,28
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,7
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1500.0
Scenario:,Reactive Clicking Hard
Hash:,7af63a074d088d9d9eabd28e1b5124c6
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:27:47.467
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.3498
Horiz Sens:,0.35
Vert Sens:,0.35
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,236.732925
Resolution Scale:,100.0
