Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:50:58.545,RS Target TR,pistol,0.816000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
2,21:50:59.143,RS Target BL,pistol,0.081000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
3,21:50:59.944,RS Target B,pistol,0.243000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
4,21:51:00.547,RS Target B,pistol,0.091000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
5,21:51:01.349,RS Target TL,pistol,0.183000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
6,21:51:02.050,RS Target TL,pistol,0.259000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
7,21:51:02.650,RS Target B,pistol,0.096000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
8,21:51:03.456,RS Target BL,pistol,0.337000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
9,21:51:03.952,RS Target T,pistol,0.038000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
10,21:51:05.055,RS Target BR,pistol,0.903000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
11,21:51:05.664,RS Target TR,pistol,0.184000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
12,21:51:06.359,RS Target TR,pistol,0.147000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
13,21:51:07.060,RS Target BR,pistol,0.190000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
14,21:51:08.862,RS Target BL,pistol,1.261000s,3,2,0.666667,60.000000,180.000000,0.333333,0,0
15,21:51:09.666,RS Target B,pistol,0.090000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
16,21:51:10.464,RS Target TL,pistol,0.085000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
17,21:51:11.264,RS Target TR,pistol,0.238000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
18,21:51:12.171,RS Target B,pistol,0.886000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
19,21:51:13.070,RS Target TL,pistol,0.825000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
20,21:51:13.768,RS Target B,pistol,0.070000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
21,21:51:15.376,RS Target TL,pistol,0.866000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
22,21:51:16.076,RS Target BR,pistol,0.226000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
23,21:51:16.671,RS Target TR,pistol,0.080000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
24,21:51:17.478,RS Target BR,pistol,0.289000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
25,21:51:18.078,RS Target TR,pistol,0.246000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
26,21:51:18.674,RS Target TL,pistol,0.056000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
27,21:51:19.481,RS Target TR,pistol,0.155000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
28,21:51:20.181,RS Target TR,pistol,0.247000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
29,21:51:20.778,RS Target R,pistol,0.250000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
30,21:51:21.382,RS Target B,pistol,0.090000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
32,21:51:23.079,RS Target TL,pistol,0.819000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
33,21:51:23.687,RS Target TR,pistol,0.132000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
34,21:51:24.387,RS Target R,pistol,0.204000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
35,21:51:25.790,RS Target TL,pistol,0.892000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
36,21:51:26.479,RS Target BL,pistol,0.052000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
37,21:51:27.288,RS Target T,pistol,0.091000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
38,21:51:28.092,RS Target TR,pistol,0.113000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
39,21:51:28.882,RS Target BL,pistol,0.243000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
40,21:51:29.494,RS Target BR,pistol,0.238000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
41,21:51:30.498,RS Target TR,pistol,0.886000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
42,21:51:31.199,RS Target R,pistol,0.202000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
43,21:51:31.887,RS Target TL,pistol,0.298000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
45,21:51:33.591,RS Target BR,pistol,0.824000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
46,21:51:34.402,RS Target L,pistol,0.251000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
47,21:51:35.008,RS Target T,pistol,0.291000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
48,21:51:35.598,RS Target BR,pistol,0.438000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
49,21:51:37.709,RS Target B,pistol,2.007000s,3,1,0.333333,30.000000,180.000000,0.166667,0,0
50,21:51:38.702,RS Target B,pistol,0.833000s,2,1,0.500000,30.000000,120.000000,0.250000,0,0
51,21:51:40.211,RS Target L,pistol,0.913000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
52,21:51:40.799,RS Target TL,pistol,0.057000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
53,21:51:41.907,RS Target R,pistol,0.866000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
54,21:51:42.714,RS Target T,pistol,0.075000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
55,21:51:43.503,RS Target B,pistol,0.258000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
57,21:51:45.018,RS Target B,pistol,0.854000s,3,2,0.666667,60.000000,180.000000,0.333333,0,0
58,21:51:45.709,RS Target TR,pistol,0.125000s,1,1,1.000000,30.000000,60.000000,0.500000,0,0
59,21:51:46.418,RS Target L,pistol,0.092000s,1,0,0.000000,0.000000,60.000000,0.000000,0,0
60,21:51:47.421,RS Target B,pistol,0.853000s,2,2,1.000000,60.000000,120.000000,0.500000,0,0
