Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:03:44.220,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,21:03:44.927,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,21:03:45.594,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,21:03:46.367,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,21:03:50.814,target_decay,pistol,3.728000s,5,1,0.200000,25.000000,250.000000,0.100000,0,0
6,21:03:52.467,target_decay,pistol,0.893000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
7,21:03:53.249,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,21:03:53.965,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,21:03:54.669,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,21:03:55.379,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,21:04:01.445,target_decay,pistol,5.352000s,7,1,0.142857,25.000000,350.000000,0.071429,0,0
12,21:04:06.748,target_decay,pistol,4.628000s,6,1,0.166667,25.000000,300.000000,0.083333,0,0
13,21:04:11.996,target_decay,pistol,4.524000s,6,1,0.166667,25.000000,300.000000,0.083333,0,0
14,21:04:12.762,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
15,21:04:15.219,target_decay,pistol,1.632000s,3,1,0.333333,25.000000,150.000000,0.166667,0,0
16,21:04:15.954,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,21:04:20.248,target_decay,pistol,3.462000s,5,1,0.200000,25.000000,250.000000,0.100000,0,0
18,21:04:29.143,target_decay,pistol,8.174001s,10,1,0.100000,25.000000,500.000000,0.050000,0,0
19,21:04:30.064,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,21:04:30.843,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,21:04:31.591,target_decay,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
22,21:04:32.382,target_decay,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
23,21:04:33.995,target_decay,pistol,0.890000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
24,21:04:37.559,target_decay,pistol,2.868000s,4,1,0.250000,25.000000,200.000000,0.125000,0,0
25,21:04:40.954,target_decay,pistol,2.709000s,4,1,0.250000,25.000000,200.000000,0.125000,0,0
26,21:04:43.482,target_decay,pistol,1.795000s,3,1,0.333333,25.000000,150.000000,0.166667,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,26,650.0,3550.0,

Kills:,26
Deaths:,0
Fight Time:,40.655998
Time Remaining:,0.0
Avg TTK:,2.307679
Damage Done:,650.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,26
Miss Count:,45
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,952.11261
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,21:03:43.617
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,239.045715
Resolution Scale:,100.0
