Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:54:26.602,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,17:54:27.380,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,17:54:28.179,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,17:54:28.915,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,17:54:29.466,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,17:54:30.004,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
7,17:54:30.623,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,17:54:31.281,target_decay,pistolz,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,17:54:31.899,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,17:54:32.494,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,17:54:33.155,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,17:54:33.690,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,17:54:34.250,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,17:54:35.221,target_decay,pistolz,0.351000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
15,17:54:35.775,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,17:54:36.386,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,17:54:36.910,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,17:54:37.395,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,17:54:37.942,target_decay,pistolz,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,17:54:38.520,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,17:54:39.208,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
22,17:54:40.059,target_decay,pistolz,0.283000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
23,17:54:40.626,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
24,17:54:41.245,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
25,17:54:41.937,target_decay,pistolz,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
26,17:54:42.906,target_decay,pistolz,0.341000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
27,17:54:43.659,target_decay,pistolz,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
