Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:28:35.551,SmoothBot,LG,0.865000s,75,35,0.466667,1.001000,2.144999,0.466667,0,17
2,14:28:37.113,SmoothBot,LG,0.867000s,75,35,0.466667,1.001000,2.144999,0.466667,0,20
3,14:28:38.596,SmoothBot,LG,0.805000s,70,36,0.514286,1.029600,2.001999,0.514286,0,23
4,14:28:39.938,SmoothBot,LG,0.938000s,81,35,0.432099,1.001000,2.316599,0.432099,0,11
5,14:28:41.397,SmoothBot,LG,0.954000s,82,40,0.487805,1.144000,2.345199,0.487805,0,22
6,14:28:43.008,SmoothBot,LG,1.209000s,104,30,0.288462,0.858000,2.974398,0.288462,0,17
7,14:28:44.486,SmoothBot,LG,1.008000s,87,35,0.402299,1.001000,2.488199,0.402299,0,20
8,14:28:46.482,SmoothBot,LG,0.963000s,83,34,0.409639,0.972400,2.373799,0.409639,0,22
9,14:28:48.166,SmoothBot,LG,1.220000s,105,35,0.333333,1.001000,3.002998,0.333333,0,22
10,14:28:49.498,SmoothBot,LG,0.832000s,72,35,0.486111,1.001000,2.059199,0.486111,0,25
11,14:28:51.017,SmoothBot,LG,1.114000s,96,35,0.364583,1.001000,2.745598,0.364583,0,11
12,14:28:52.902,SmoothBot,LG,1.230000s,106,35,0.330189,1.001000,3.031598,0.330189,0,20
13,14:28:54.652,SmoothBot,LG,1.408000s,121,35,0.289256,1.001000,3.460598,0.289256,0,16
14,14:28:56.622,SmoothBot,LG,1.463000s,126,35,0.277778,1.001000,3.603598,0.277778,0,23
15,14:28:58.980,SmoothBot,LG,1.828000s,140,40,0.285714,1.144000,4.003997,0.285714,0,21
16,14:29:01.039,SmoothBot,LG,1.362000s,117,30,0.256410,0.858000,3.346198,0.256410,0,20
17,14:29:02.513,SmoothBot,LG,0.984000s,85,35,0.411765,1.001000,2.430999,0.411765,0,24
18,14:29:04.311,SmoothBot,LG,1.621000s,139,35,0.251799,1.001000,3.975397,0.251799,0,4
19,14:29:05.722,SmoothBot,LG,1.237000s,106,35,0.330189,1.001000,3.031598,0.330189,0,14
20,14:29:07.358,SmoothBot,LG,1.390000s,119,35,0.294118,1.001000,3.403398,0.294118,0,20
21,14:29:08.342,SmoothBot,LG,0.564000s,49,35,0.714286,1.001000,1.401399,0.714286,0,19
22,14:29:10.035,SmoothBot,LG,1.269000s,109,35,0.321101,1.001000,3.117398,0.321101,0,24
23,14:29:13.047,SmoothBot,LG,2.514000s,202,35,0.173267,1.001000,5.777211,0.173267,0,23
24,14:29:13.968,SmoothBot,LG,0.493000s,43,35,0.813953,1.001000,1.229800,0.813954,0,22
25,14:29:16.069,SmoothBot,LG,1.314000s,113,35,0.309735,1.001000,3.231798,0.309735,0,22
26,14:29:17.431,SmoothBot,LG,0.868000s,75,35,0.466667,1.001000,2.144999,0.466667,0,6
27,14:29:19.814,SmoothBot,LG,1.607000s,138,35,0.253623,1.001000,3.946797,0.253623,0,22
28,14:29:22.345,SmoothBot,LG,2.044000s,175,38,0.217143,1.086800,5.005005,0.217143,0,22
29,14:29:24.247,SmoothBot,LG,0.997000s,86,32,0.372093,0.915200,2.459599,0.372093,0,25
30,14:29:26.688,SmoothBot,LG,2.143000s,167,35,0.209581,1.001000,4.776203,0.209581,0,24
31,14:29:28.095,SmoothBot,LG,0.501000s,44,35,0.795455,1.001000,1.258399,0.795455,0,21
32,14:29:29.415,SmoothBot,LG,0.916000s,79,35,0.443038,1.001000,2.259399,0.443038,0,16
33,14:29:31.304,SmoothBot,LG,0.859000s,74,35,0.472973,1.001000,2.116399,0.472973,0,21
34,14:29:32.906,SmoothBot,LG,1.029000s,89,35,0.393258,1.001000,2.545398,0.393259,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3469,1198,34.263046,99.215584,

Kills:,34
Deaths:,0
Fight Time:,40.416
Time Remaining:,0.0
Avg TTK:,2.076111
Damage Done:,34.263046
Total Overshots:,664
Damage Taken:,0.0
Hit Count:,1198
Miss Count:,2271
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,34.263046
Scenario:,Smoothbot TS Voltaic Easy
Hash:,80f4bae4c0dfb9be512ee6c483bea372
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:28:33.644
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,219.872269
Resolution Scale:,100.0
