Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:01:26.556,SmoothBot,LG,3.291000s,281,35,0.124555,1.001000,8.036627,0.124555,0,25
2,21:01:29.603,SmoothBot,LG,2.745000s,234,35,0.149573,1.001000,6.692418,0.149572,0,25
3,21:01:31.251,SmoothBot,LG,1.339000s,115,35,0.304348,1.001000,3.288998,0.304348,0,25
4,21:01:33.646,SmoothBot,LG,2.295000s,196,35,0.178571,1.001000,5.605609,0.178571,0,7
5,21:01:35.522,SmoothBot,LG,1.579000s,135,35,0.259259,1.001000,3.860997,0.259259,0,25
6,21:01:37.548,SmoothBot,LG,1.722000s,147,35,0.238095,1.001000,4.204199,0.238095,0,25
7,21:01:40.226,SmoothBot,LG,2.376000s,197,35,0.177665,1.001000,5.634210,0.177665,0,25
8,21:01:41.647,SmoothBot,LG,1.117000s,96,35,0.364583,1.001000,2.745598,0.364583,0,25
9,21:01:44.474,SmoothBot,LG,2.518000s,215,35,0.162791,1.001000,6.149014,0.162790,0,25
10,21:01:46.462,SmoothBot,LG,1.687000s,144,36,0.250000,1.029600,4.118398,0.250000,0,25
11,21:01:48.979,SmoothBot,LG,2.214000s,189,35,0.185185,1.001000,5.405408,0.185185,0,25
12,21:01:50.650,SmoothBot,LG,1.363000s,117,35,0.299145,1.001000,3.346198,0.299145,0,25
13,21:01:53.976,SmoothBot,LG,3.024000s,258,35,0.135659,1.001000,7.378823,0.135658,0,25
14,21:01:56.843,SmoothBot,LG,2.561000s,179,46,0.256983,1.315599,5.119406,0.256983,0,25
15,21:01:57.883,SmoothBot,LG,0.732000s,63,24,0.380952,0.686400,1.801799,0.380953,0,25
16,21:02:00.140,SmoothBot,LG,1.953000s,167,35,0.209581,1.001000,4.776203,0.209581,0,25
17,21:02:02.798,SmoothBot,LG,2.349000s,201,35,0.174129,1.001000,5.748610,0.174129,0,25
18,21:02:05.088,SmoothBot,LG,2.096000s,179,37,0.206704,1.058200,5.119406,0.206704,0,15
19,21:02:09.765,SmoothBot,LG,4.378000s,373,34,0.091153,0.972400,10.667803,0.091153,0,25
20,21:02:10.962,SmoothBot,LG,0.894000s,77,35,0.454545,1.001000,2.202199,0.454546,0,25
21,21:02:13.097,SmoothBot,LG,1.827000s,156,33,0.211538,0.943800,4.461601,0.211538,0,25
22,21:02:15.656,SmoothBot,LG,2.258000s,193,37,0.191710,1.058200,5.519809,0.191709,0,25
23,21:02:18.037,SmoothBot,LG,2.072000s,177,35,0.197740,1.001000,5.062205,0.197740,0,25
24,21:02:20.113,SmoothBot,LG,1.776000s,152,37,0.243421,1.058200,4.347200,0.243421,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,4291,850,24.310156,122.726921,

Kills:,24
Deaths:,0
Fight Time:,50.166
Time Remaining:,0.0
Avg TTK:,2.941157
Damage Done:,24.310156
Total Overshots:,572
Damage Taken:,0.0
Hit Count:,850
Miss Count:,3441
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,24.310156
Scenario:,Smoothbot TS Voltaic Easy
Hash:,80f4bae4c0dfb9be512ee6c483bea372
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,21:01:20.748
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,227.539963
Resolution Scale:,100.0
