Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:37:49.969,SmoothBot,LG,1.740000s,149,48,0.322148,1.372799,4.261399,0.322148,0,25
2,22:37:52.009,SmoothBot,LG,1.749000s,150,35,0.233333,1.001000,4.289999,0.233333,0,23
3,22:37:54.346,SmoothBot,LG,1.114000s,96,32,0.333333,0.915200,2.745598,0.333333,0,21
4,22:37:55.899,SmoothBot,LG,0.654000s,57,35,0.614035,1.001000,1.630199,0.614035,0,20
5,22:37:57.723,SmoothBot,LG,0.805000s,70,25,0.357143,0.715000,2.001999,0.357143,0,25
6,22:37:59.899,SmoothBot,LG,1.631000s,110,35,0.318182,1.001000,3.145998,0.318182,0,23
7,22:38:02.769,SmoothBot,LG,2.020000s,173,37,0.213873,1.058200,4.947804,0.213873,0,19
8,22:38:06.324,SmoothBot,LG,2.960000s,253,52,0.205534,1.487199,7.235822,0.205533,0,24
9,22:38:07.377,SmoothBot,LG,0.197000s,18,18,1.000000,0.514800,0.514800,1.000000,0,24
10,22:38:08.682,SmoothBot,LG,0.547000s,48,35,0.729167,1.001000,1.372799,0.729167,0,20
11,22:38:10.569,SmoothBot,LG,0.938000s,81,33,0.407407,0.943800,2.316599,0.407408,0,19
12,22:38:12.205,SmoothBot,LG,1.043000s,90,35,0.388889,1.001000,2.573998,0.388889,0,16
13,22:38:15.470,SmoothBot,LG,2.171000s,186,35,0.188172,1.001000,5.319607,0.188172,0,18
14,22:38:19.310,SmoothBot,LG,2.737000s,191,35,0.183246,1.001000,5.462608,0.183246,0,9
15,22:38:21.644,SmoothBot,LG,1.327000s,114,35,0.307018,1.001000,3.260398,0.307018,0,25
16,22:38:22.699,SmoothBot,LG,0.789000s,58,35,0.603448,1.001000,1.658799,0.603448,0,21
17,22:38:24.635,SmoothBot,LG,1.465000s,126,36,0.285714,1.029600,3.603598,0.285714,0,19
18,22:38:26.409,SmoothBot,LG,0.704000s,61,34,0.557377,0.972400,1.744599,0.557377,0,24
19,22:38:28.245,SmoothBot,LG,1.172000s,101,35,0.346535,1.001000,2.888598,0.346535,0,18
20,22:38:31.768,SmoothBot,LG,2.249000s,161,35,0.217391,1.001000,4.604602,0.217391,0,24
21,22:38:34.155,SmoothBot,LG,1.209000s,104,35,0.336538,1.001000,2.974398,0.336539,0,22
22,22:38:36.150,SmoothBot,LG,1.244000s,107,35,0.327103,1.001000,3.060198,0.327103,0,21
23,22:38:39.483,SmoothBot,LG,2.628000s,185,35,0.189189,1.001000,5.291007,0.189189,0,23
24,22:38:40.737,SmoothBot,LG,0.690000s,60,35,0.583333,1.001000,1.715999,0.583333,0,21
25,22:38:43.291,SmoothBot,LG,1.082000s,93,42,0.451613,1.201200,2.659798,0.451613,0,23
26,22:38:45.000,SmoothBot,LG,0.714000s,62,28,0.451613,0.800800,1.773199,0.451613,0,20

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,2996,922,26.369406,85.686554,

Kills:,26
Deaths:,0
Fight Time:,35.578999
Time Remaining:,0.0
Avg TTK:,2.714914
Damage Done:,26.369406
Total Overshots:,547
Damage Taken:,0.0
Hit Count:,922
Miss Count:,2074
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,26.369406
Scenario:,Smoothbot TS Voltaic Easy
Hash:,80f4bae4c0dfb9be512ee6c483bea372
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:37:46.552
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,203.597839
Resolution Scale:,100.0
