Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:16:01.000,SmoothBot,LG,1.139000s,98,38,0.387755,1.086800,2.802798,0.387755,0,10
2,18:16:02.140,SmoothBot,LG,0.897000s,73,35,0.479452,1.001000,2.087799,0.479452,0,20
3,18:16:03.771,SmoothBot,LG,0.867000s,75,32,0.426667,0.915200,2.144999,0.426667,0,25
4,18:16:04.730,SmoothBot,LG,0.681000s,59,35,0.593220,1.001000,1.687399,0.593220,0,22
5,18:16:06.247,SmoothBot,LG,0.819000s,71,35,0.492958,1.001000,2.030599,0.492958,0,16
6,18:16:07.446,SmoothBot,LG,0.821000s,71,35,0.492958,1.001000,2.030599,0.492958,0,21
7,18:16:09.098,SmoothBot,LG,1.076000s,93,35,0.376344,1.001000,2.659798,0.376344,0,21
8,18:16:10.390,SmoothBot,LG,0.843000s,73,35,0.479452,1.001000,2.087799,0.479452,0,25
9,18:16:11.958,SmoothBot,LG,1.321000s,113,35,0.309735,1.001000,3.231798,0.309735,0,20
10,18:16:13.616,SmoothBot,LG,1.198000s,103,35,0.339806,1.001000,2.945798,0.339806,0,24
11,18:16:15.592,SmoothBot,LG,1.007000s,87,35,0.402299,1.001000,2.488199,0.402299,0,25
12,18:16:17.070,SmoothBot,LG,1.224000s,105,35,0.333333,1.001000,3.002998,0.333333,0,20
13,18:16:18.808,SmoothBot,LG,1.279000s,110,35,0.318182,1.001000,3.145998,0.318182,0,22
14,18:16:21.627,SmoothBot,LG,1.983000s,170,35,0.205882,1.001000,4.862004,0.205882,0,25
15,18:16:22.595,SmoothBot,LG,0.657000s,57,35,0.614035,1.001000,1.630199,0.614035,0,25
16,18:16:24.644,SmoothBot,LG,1.745000s,114,35,0.307018,1.001000,3.260398,0.307018,0,25
17,18:16:26.454,SmoothBot,LG,1.506000s,129,35,0.271318,1.001000,3.689398,0.271318,0,25
18,18:16:27.890,SmoothBot,LG,1.130000s,72,35,0.486111,1.001000,2.059199,0.486111,0,25
19,18:16:29.202,SmoothBot,LG,1.010000s,87,35,0.402299,1.001000,2.488199,0.402299,0,25
20,18:16:30.813,SmoothBot,LG,1.307000s,84,35,0.416667,1.001000,2.402399,0.416667,0,25
21,18:16:32.481,SmoothBot,LG,1.362000s,117,35,0.299145,1.001000,3.346198,0.299145,0,25
22,18:16:34.438,SmoothBot,LG,1.649000s,141,35,0.248227,1.001000,4.032598,0.248227,0,25
23,18:16:36.236,SmoothBot,LG,1.495000s,128,35,0.273438,1.001000,3.660798,0.273438,0,25
24,18:16:37.573,SmoothBot,LG,0.653000s,57,35,0.614035,1.001000,1.630199,0.614035,0,25
25,18:16:39.436,SmoothBot,LG,1.555000s,133,38,0.285714,1.086800,3.803797,0.285714,0,25
26,18:16:40.624,SmoothBot,LG,0.881000s,76,32,0.421053,0.915200,2.173599,0.421053,0,25
27,18:16:42.417,SmoothBot,LG,1.486000s,127,35,0.275591,1.001000,3.632198,0.275591,0,25
28,18:16:44.478,SmoothBot,LG,1.756000s,114,35,0.307018,1.001000,3.260398,0.307018,0,25
29,18:16:46.284,SmoothBot,LG,1.505000s,129,35,0.271318,1.001000,3.689398,0.271318,0,25
30,18:16:48.283,SmoothBot,LG,1.695000s,145,35,0.241379,1.001000,4.146998,0.241379,0,24
31,18:16:49.111,SmoothBot,LG,0.531000s,46,35,0.760870,1.001000,1.315599,0.760870,0,25
32,18:16:51.886,SmoothBot,LG,2.471000s,211,35,0.165877,1.001000,6.034613,0.165876,0,25
33,18:16:54.648,SmoothBot,LG,1.454000s,125,35,0.280000,1.001000,3.574998,0.280000,0,25
34,18:16:55.987,SmoothBot,LG,1.038000s,89,35,0.393258,1.001000,2.545398,0.393259,0,25
35,18:16:57.310,SmoothBot,LG,1.012000s,87,35,0.402299,1.001000,2.488199,0.402299,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3710,1256,35.921776,106.10881,

Kills:,35
Deaths:,0
Fight Time:,43.053001
Time Remaining:,0.0
Avg TTK:,2.016793
Damage Done:,35.921776
Total Overshots:,820
Damage Taken:,0.0
Hit Count:,1256
Miss Count:,2454
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,35.921776
Scenario:,Smoothbot TS Voltaic Easy
Hash:,80f4bae4c0dfb9be512ee6c483bea372
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,18:15:59.006
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,208.280533
Resolution Scale:,100.0
