Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:23:03.748,SmoothBot,LG,2.143000s,188,37,0.196809,1.058200,5.376808,0.196808,0,25
2,17:23:06.077,SmoothBot,LG,2.021000s,173,33,0.190751,0.943800,4.947804,0.190751,0,25
3,17:23:08.996,SmoothBot,LG,2.615000s,223,68,0.304933,1.944799,6.377815,0.304932,0,25
4,17:23:09.689,SmoothBot,LG,0.383000s,34,2,0.058824,0.057200,0.972400,0.058824,0,25
5,17:23:10.720,SmoothBot,LG,0.727000s,63,35,0.555556,1.001000,1.801799,0.555556,0,25
6,17:23:12.299,SmoothBot,LG,1.331000s,114,35,0.307018,1.001000,3.260398,0.307018,0,19
7,17:23:14.156,SmoothBot,LG,1.562000s,134,35,0.261194,1.001000,3.832397,0.261194,0,25
8,17:23:15.483,SmoothBot,LG,1.109000s,95,35,0.368421,1.001000,2.716998,0.368421,0,17
9,17:23:16.362,SmoothBot,LG,0.582000s,50,35,0.700000,1.001000,1.429999,0.700000,0,25
10,17:23:17.819,SmoothBot,LG,1.150000s,99,35,0.353535,1.001000,2.831398,0.353535,0,25
11,17:23:19.012,SmoothBot,LG,0.885000s,76,35,0.460526,1.001000,2.173599,0.460526,0,25
12,17:23:20.533,SmoothBot,LG,1.220000s,105,35,0.333333,1.001000,3.002998,0.333333,0,25
13,17:23:21.867,SmoothBot,LG,1.024000s,88,35,0.397727,1.001000,2.516798,0.397727,0,25
14,17:23:22.916,SmoothBot,LG,0.739000s,64,35,0.546875,1.001000,1.830399,0.546875,0,25
15,17:23:24.429,SmoothBot,LG,1.211000s,104,35,0.336538,1.001000,2.974398,0.336539,0,25
16,17:23:25.752,SmoothBot,LG,1.013000s,87,35,0.402299,1.001000,2.488199,0.402299,0,25
17,17:23:27.934,SmoothBot,LG,1.880000s,161,39,0.242236,1.115400,4.604602,0.242236,0,25
18,17:23:29.136,SmoothBot,LG,0.896000s,77,33,0.428571,0.943800,2.202199,0.428572,0,25
19,17:23:31.239,SmoothBot,LG,1.795000s,154,35,0.227273,1.001000,4.404400,0.227273,0,25
20,17:23:32.598,SmoothBot,LG,1.050000s,90,35,0.388889,1.001000,2.573998,0.388889,0,25
21,17:23:34.195,SmoothBot,LG,1.296000s,111,35,0.315315,1.001000,3.174598,0.315315,0,25
22,17:23:35.680,SmoothBot,LG,1.177000s,101,33,0.326733,0.943800,2.888598,0.326733,0,25
23,17:23:37.219,SmoothBot,LG,1.236000s,106,35,0.330189,1.001000,3.031598,0.330189,0,25
24,17:23:39.028,SmoothBot,LG,1.504000s,129,35,0.271318,1.001000,3.689398,0.271318,0,25
25,17:23:41.539,SmoothBot,LG,2.205000s,188,35,0.186170,1.001000,5.376808,0.186170,0,25
26,17:23:43.512,SmoothBot,LG,1.692000s,145,35,0.241379,1.001000,4.146998,0.241379,0,22
27,17:23:44.433,SmoothBot,LG,0.623000s,54,35,0.648148,1.001000,1.544399,0.648148,0,25
28,17:23:46.758,SmoothBot,LG,2.026000s,173,35,0.202312,1.001000,4.947804,0.202312,0,25
29,17:23:48.559,SmoothBot,LG,1.496000s,128,40,0.312500,1.144000,3.660798,0.312500,0,25
30,17:23:49.549,SmoothBot,LG,0.681000s,59,30,0.508475,0.858000,1.687399,0.508475,0,25
31,17:23:51.181,SmoothBot,LG,1.330000s,114,35,0.307018,1.001000,3.260398,0.307018,0,25
32,17:23:52.464,SmoothBot,LG,0.975000s,84,35,0.416667,1.001000,2.402399,0.416667,0,25
33,17:23:54.013,SmoothBot,LG,1.246000s,107,35,0.327103,1.001000,3.060198,0.327103,0,24
34,17:23:55.276,SmoothBot,LG,0.966000s,83,35,0.421687,1.001000,2.373799,0.421687,0,25
35,17:23:57.135,SmoothBot,LG,1.552000s,133,35,0.263158,1.001000,3.803797,0.263158,0,25
36,17:23:58.089,SmoothBot,LG,0.647000s,56,35,0.625000,1.001000,1.601599,0.625000,0,25
37,17:23:59.917,SmoothBot,LG,1.519000s,130,35,0.269231,1.001000,3.717998,0.269231,0,25
38,17:24:01.253,SmoothBot,LG,1.329000s,114,35,0.307018,1.001000,3.260398,0.307018,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,4194,1330,38.038086,119.952469,

Kills:,38
Deaths:,0
Fight Time:,48.835999
Time Remaining:,0.0
Avg TTK:,1.857573
Damage Done:,38.038086
Total Overshots:,907
Damage Taken:,0.0
Hit Count:,1330
Miss Count:,2864
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,38.038086
Scenario:,Smoothbot TS Voltaic Easy
Hash:,80f4bae4c0dfb9be512ee6c483bea372
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:23:01.290
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,226.773529
Resolution Scale:,100.0
