Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:27:08.107,Dot,Semi Auto,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,22:27:08.602,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,22:27:09.139,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,22:27:09.944,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,22:27:10.592,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,22:27:11.098,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,22:27:11.720,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,22:27:12.276,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,22:27:12.768,Dot,Semi Auto,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,22:27:13.284,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,22:27:13.875,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,22:27:14.403,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,22:27:14.977,Dot,Semi Auto,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,22:27:15.423,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,22:27:15.913,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,22:27:16.451,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,22:27:16.923,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,22:27:17.506,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,22:27:18.154,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,22:27:18.742,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,22:27:19.225,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,22:27:19.690,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,22:27:20.225,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,22:27:21.363,Dot,Semi Auto,0.653000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
25,22:27:22.039,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
26,22:27:22.513,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,22:27:22.953,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,22:27:23.429,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,22:27:23.946,Dot,Semi Auto,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
