Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:04:16.144,Thin very long strafe,Track Master 100,7.536000s,722,200,0.277008,200.000000,722.000000,0.277008,0,25
2,15:04:24.569,Thin very long strafe,Track Master 100,8.169001s,532,200,0.375940,200.000000,532.000000,0.375940,0,24
3,15:04:31.977,Thin very long strafe,Track Master 100,4.929000s,494,200,0.404858,200.000000,494.000000,0.404858,0,25
4,15:04:43.458,Thin very long strafe,Track Master 100,11.223001s,896,200,0.223214,200.000000,896.000000,0.223214,0,25
5,15:04:51.888,Thin very long strafe,Track Master 100,8.170000s,543,200,0.368324,200.000000,543.000000,0.368324,0,25
6,15:05:00.328,Thin very long strafe,Track Master 100,8.176001s,606,200,0.330033,200.000000,606.000000,0.330033,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4283,1359,1359.0,4283.0,

Kills:,6
Deaths:,0
Fight Time:,48.202999
Time Remaining:,0.0
Avg TTK:,9.999943
Damage Done:,1359.0
Total Overshots:,149
Damage Taken:,0.0
Hit Count:,1359
Miss Count:,2924
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1359.0
Scenario:,Thin Aiming Long slow
Hash:,1752e8053ba5d8143a4c0f33b2b03300
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:04:06.975
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,225.28804
Resolution Scale:,100.0
