Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,19:37:59.200,smooth_1,Track Master 100,10.556001s,795,600,0.754717,600.000000,795.000000,0.754717,0,25
2,19:38:21.760,smooth_2,Track Master 100,22.219002s,1662,1000,0.601685,1000.000000,1662.000000,0.601685,0,24
3,19:38:51.837,smooth_3,Track Master 100,29.622002s,2223,900,0.404858,900.000000,2223.000000,0.404858,0,25
4,19:39:17.665,smooth_4,Track Master 100,25.479002s,1899,1000,0.526593,1000.000000,1899.000000,0.526593,0,25
5,19:39:49.795,smooth_5,Track Master 100,31.785002s,2381,700,0.293994,700.000000,2381.000000,0.293994,0,25
6,19:40:07.127,smooth_6,Track Master 100,16.986000s,1250,500,0.400000,500.000000,1250.000000,0.400000,0,25
7,19:40:32.481,smooth_7,Track Master 100,25.005001s,1863,700,0.375738,700.000000,1863.000000,0.375738,0,25
8,19:40:53.925,smooth_8,Track Master 100,21.433001s,1602,400,0.249688,400.000000,1602.000000,0.249688,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,13675,5800,5800.0,13675.0,

Kills:,8
Deaths:,0
Fight Time:,183.085007
Time Remaining:,0.0
Avg TTK:,30.93309
Damage Done:,5800.0
Total Overshots:,174
Damage Taken:,0.0
Hit Count:,5800
Miss Count:,7875
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,860.77063
Scenario:,Thin Gauntlet Easy
Hash:,f23540d07d32a6a73af952853b1cd834
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,19:37:48.303
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,303.025543
Resolution Scale:,100.0
